Sample,variable,value
10A-HF | 30-10-2017,Basal.Glyco,7.10495134299334
10B-HF | 18-12-2017,Basal.Glyco,3.9582813817433014
11-HC | 18-09-2017,Basal.Glyco,11.542947767112299
11A-HF | 28-11-2017,Basal.Glyco,14.618826846581124
11B-HF | 15-01-2018,Basal.Glyco,9.812115724998774
11B_2-DB2 | 14-01-2019,Basal.Glyco,18.16855932603722
12B-HF | 22-01-2018,Basal.Glyco,8.623737229896756
13A-HF | 26-02-2018,Basal.Glyco,9.159914616230555
13B-HF | 13-04-2018,Basal.Glyco,8.993310173144865
14A-HF | 22-01-2018,Basal.Glyco,9.997748796754154
14B-HF | 12-03-2018,Basal.Glyco,9.223838190560379
15A-HF | 15-01-2018,Basal.Glyco,11.126141472162882
17A-HF | 12-03-2018,Basal.Glyco,5.520033878059788
17B-HF | 30-04-2018,Basal.Glyco,10.126288084141887
18A-HF | 12-02-2018,Basal.Glyco,8.408496494483813
18B-HF | 03-04-2018,Basal.Glyco,11.089099533283298
19B-HF | 09-04-2018,Basal.Glyco,6.704078791317372
1A-HF | 14-08-2017,Basal.Glyco,28.27619822043617
1B- | 02-10-2017,Basal.Glyco,38.662735116729976
22A-HF | 09-04-2018,Basal.Glyco,10.114674354643773
22B-HF | 28-05-2018,Basal.Glyco,11.557878877012215
22Bb-HF | 28-05-2018,Basal.Glyco,12.315892607461041
24A-HF | 12-04-2018,Basal.Glyco,10.692398924442438
24B-HF | 04-06-2018,Basal.Glyco,21.8993785940641
25A-HF | 05-03-2018,Basal.Glyco,4.0399326971139295
25B-HF | 23-04-2018,Basal.Glyco,7.967164485989446
26A-HF | 23-04-2018,Basal.Glyco,0.8643474428303932
26B-HF | 11-06-2018,Basal.Glyco,13.840365400346903
27A-HF | 30-04-2018,Basal.Glyco,3.952845742702582
27B-HF | 18-06-2018,Basal.Glyco,9.249078657256941
27Bb-HF | 18-06-2018,Basal.Glyco,8.782157942763437
29A-HF | 08-05-2018,Basal.Glyco,22.27306515124706
2B_2-DB2 | 12-02-2018,Basal.Glyco,14.119709786515331
31A-HF | 13-08-2018,Basal.Glyco,18.4085000326626
31Bt-HF | 01-10-2018,Basal.Glyco,12.991578671105684
32A-HF | 15-05-2018,Basal.Glyco,15.568357795962841
32Ab- | 15-05-2018,Basal.Glyco,17.78028316621124
