sample_id,Interval,mean,SD,SE,size,CV
10A-HF | 30-10-2017,Int1,20.424788740973845,2.9142299294009772,0.2508169774130934,135,14.268103167964655
10A-HF | 30-10-2017,Int2,47.241348994319196,5.867406082655155,0.6401864882574183,84,12.420064641593351
10A-HF | 30-10-2017,Int5,13.319837397980505,1.7613525536424373,0.3215775084497637,30,13.223528944200819
10B-HF | 18-12-2017,Int1,10.233223597178762,1.1425880148734986,0.1293726168730126,78,11.165474926087839
10B-HF | 18-12-2017,Int2,20.789995410609496,3.1198005198632206,0.3532478479753495,78,15.006258819427792
10B-HF | 18-12-2017,Int5,6.274942215435461,1.2817393225110154,0.2340125132602241,30,20.426312761225432
11-HC | 18-09-2017,Int1,15.896512093520245,3.17307512016363,0.2761807395447145,132,19.9608260069644
11-HC | 18-09-2017,Int2,19.68989816538425,3.1456428581425064,0.34321777396988745,84,15.975922433528336
11-HC | 18-09-2017,Int5,4.353564326407946,0.5664933953845435,0.10705718882486338,28,13.01217468978913
11A-HF | 28-11-2017,Int1,22.716657865284873,2.7446346800882524,0.2548329325457263,116,12.08203555454584
11A-HF | 28-11-2017,Int2,34.22422297202276,3.3679771489279555,0.4025502643983176,70,9.840916334846147
11A-HF | 28-11-2017,Int5,8.097831018703749,0.7700882879382953,0.15102673874563952,26,9.509809307697388
11B-HF | 15-01-2018,Int1,25.531447030334512,2.3825787646076435,0.21749868906806627,120,9.331937832496708
11B-HF | 15-01-2018,Int2,49.89472892757188,3.7432052577874857,0.42114349462193784,79,7.502205820621237
11B-HF | 15-01-2018,Int5,15.719331305335738,1.588681170911768,0.30574183389413306,27,10.106544229222457
11B_2-DB2 | 14-01-2019,Int1,27.805422452034207,2.3158707895666932,0.2363625726939498,96,8.328845906087887
11B_2-DB2 | 14-01-2019,Int2,43.934528184951404,3.9539531082784674,0.47258778749810754,70,8.999648503412832
11B_2-DB2 | 14-01-2019,Int5,9.636863125996987,1.2876822165202484,0.24334906518521465,28,13.362047376666778
12B-HF | 22-01-2018,Int1,16.295757525449503,2.711781287002393,0.24755063031860028,120,16.64102624727531
12B-HF | 22-01-2018,Int2,27.938955888818544,3.6465786569276695,0.40026400777186455,83,13.051950371513588
12B-HF | 22-01-2018,Int5,7.672020295552747,0.9909471158312892,0.18727140220759345,28,12.916377663986541
13A-HF | 26-02-2018,Int1,15.258566827802234,1.8488642911069684,0.17316200625908332,114,12.116893493156915
