Sample,log.Basal.Glyco,log.Max.Glyco.Cpcty,log.Glyco.Rsrv.Cpcty,log.Non.Glyco.Acid.
10A-HF | 30-10-2017,0.427495568365134,1.2660158140868458,0.8385202457217118,2.5892537291682665
10B-HF | 18-12-2017,0.4892508751801832,1.198089181803041,0.70883830662285785,1.8363807356323103
11-HC | 18-09-2017,1.2951048172098552,1.5090992503750238,0.21399443316516864,1.4709895882303847
11A-HF | 28-11-2017,1.0316034207136662,1.4414495618746868,0.4098461411610206,2.091483475874833
11B-HF | 15-01-2018,0.48501932981618934,1.1550241161961687,0.6700047863799794,2.754891248267786
11B_2-DB2 | 14-01-2019,1.059634509090729,1.5171037389503281,0.45746922985959904,2.26559561806047
12B-HF | 22-01-2018,0.7534396503426808,1.2925579796710926,0.5391183293284119,2.0374640036963405
13A-HF | 26-02-2018,0.917079542297532,1.3975090520083375,0.48042950971080556,1.8080608134678742
13B-HF | 13-04-2018,0.7018783990088395,1.260812342872501,0.5589339438636616,2.1791428162846227
14A-HF | 22-01-2018,0.6813981811157852,1.1498492362051467,0.46845105508936147,2.326021745399747
14B-HF | 12-03-2018,1.0168178441329008,1.523533954810868,0.5067161106779672,1.6539834993854259
15A-HF | 15-01-2018,0.8461620380273382,1.4118972914059342,0.565735253378596,2.1236597557828256
17A-HF | 12-03-2018,1.0041593619239333,1.3851009273816393,0.38094156545770597,1.1604807259220988
17B-HF | 30-04-2018,0.7032968799462433,1.2108719801750847,0.5075751002288413,2.2949347114499834
18A-HF | 12-02-2018,0.6287251478738907,1.3361579931120366,0.707432845238146,2.262536266517561
18B-HF | 03-04-2018,1.345634571390471,1.6278996498632852,0.28226507847281423,1.3619646792718387
19B-HF | 09-04-2018,0.42339198490009533,1.146832654025141,0.7234406691250457,2.543294595432474
1A-HF | 14-08-2017,1.3593525165332196,1.7414564258443441,0.3821039093111245,2.279496164249009
1B- | 02-10-2017,1.4495411132364384,1.526386760628076,0.07684564739163768,2.4727962229125
22A-HF | 09-04-2018,0.8521732185370174,1.3008235679380182,0.4486503494010008,2.017779900507705
22B-HF | 28-05-2018,0.8620642085455099,1.3851648345541654,0.5231006260086555,2.1339890685507026
22Bb-HF | 28-05-2018,0.8704988825060398,1.4034023627373524,0.5329034802313126,2.182940668048371
24A-HF | 12-04-2018,1.1572936318042357,1.5089249833549556,0.3516313515507199,1.5896054946149052
24B-HF | 04-06-2018,0.895811011536678,1.4144630390159167,0.5186520274792388,2.7153630222457283
25A-HF | 05-03-2018,0.7330009911405255,1.2973503318105177,0.5643493406699922,1.3180480499814051
25B-HF | 23-04-2018,0.3599697867528593,1.1901959679231489,0.8302261811702896,2.9117270025513253
26A-HF | 23-04-2018,0.04490061993935379,0.9294190754519627,0.8845184555126089,2.934989754948808
26B-HF | 11-06-2018,0.9111406774292132,1.3950292152794366,0.48388853785022334,2.2307436295551404
27A-HF | 30-04-2018,0.13624543861141358,0.9388864756512154,0.8026410370398018,3.298837034280952
27B-HF | 18-06-2018,0.40818231636980107,1.2521262361774852,0.8439439198076841,2.9095502307289722
27Bb-HF | 18-06-2018,0.37799510052562724,1.1841792511093239,0.8061841505836966,2.950690291157274
29A-HF | 08-05-2018,1.4669227373755507,1.5656835449259368,0.09876080755038608,1.898644051852009
2B_2-DB2 | 12-02-2018,0.8236105953600603,1.3679714788319632,0.5443608834719029,2.401768839376726
31A-HF | 13-08-2018,0.5843385656802913,1.20516116576897,0.6208226000886787,3.1437506525812347
31Bt-HF | 01-10-2018,0.7204939985576413,1.230711390332417,0.5102173917747757,2.5103357094234378
32A-HF | 15-05-2018,1.083993265018738,1.5634331161380008,0.4794398511192628,2.0741104186279165
32Ab- | 15-05-2018,1.2536563324178283,1.6638761500441186,0.41021981762629034,1.9605500198350092
32B-HF | 29-06-2018,0.9465862001804455,1.4906316729204763,0.5440454727400308,2.2071557196178233
33A-HF | 20-08-2018,0.906837599010907,1.4503046292076767,0.5434670301967697,2.0230886927198135
33B-HF | 08-10-2018,2.4850703798952285,2.7121390685510165,0.227068688655788,-0.27453401957901435
34B-HF | 14-11-2018,0.6596544684498231,1.3170440992490913,0.6573896307992682,2.5642883964380956
36A-HF | 27-08-2018,1.0894845245986016,1.4725825293186894,0.3830980047200878,2.0525401377402286
36B-HF | 15-10-2018,0.8276548786962343,1.3171218298552714,0.48946695115903704,2.010343688410846
39 post-ConBis  | 23-11-2018,1.0010411929435379,1.363404742775478,0.3623635498319402,2.4909767003776087
39A-HF | 15-10-2018,1.1127662324337226,1.438672208289967,0.32590597585624437,2.328461547385607
3A-HF | 28-08-2017,1.2176690603686606,1.6274840998646032,0.40981503949594256,2.1290546231179417
3Ab-HF | 28-08-2017,1.1230791734336272,1.5280434006865335,0.4049642272529064,2.247938055629307
4 post-Conbis  | 13-11-2017,0.8955909862720768,1.5824527519080194,0.6868617656359426,2.5274785513310967
40A-HF | 07-01-2019,0.18607826784287074,0.9482930406955319,0.7622147728526611,2.7709411382381806
40B-HF | 25-02-2019,0.6317115910010918,1.1076355936681317,0.47592400266703994,2.7847064052705877
42B-HF | 19-11-2018,1.134204817580478,1.4041550497415596,0.2699502321610816,1.8214672486367478
43A-HF | 15-10-2018,0.7115832481831146,1.3247417341449048,0.6131584859617902,2.322338333956644
43B-HF | 05-12-2018,0.5531577899510376,1.1470865249514217,0.5939287350003841,2.522999042300108
44A-HF | 29-10-2018,0.9379585078014574,1.4533577962933033,0.5153992884918459,2.164555388161442
46A-HF | 19-11-2018,0.30309064860777557,0.7072532601636756,0.40416261155590005,3.1322286840152818
46B-HF | 07-01-2019,0.48726915994219455,1.236541440334074,0.7492722803918794,2.850939181805697
48 post-ConBis  | 21-12-2018,1.390161916129391,1.594105004313553,0.20394308818416196,2.124024464645463
48 pre- | 05-11-2018,0.9334474398265349,1.5812924436846596,0.6478450038581247,2.2563566050168538
49A-HF | 05-12-2018,0.2593273125162545,0.7867045770483205,0.527377264532066,2.7766219565911374
49B-HF | 22-01-2019,1.0649534603952806,1.4861234574093096,0.421169997014029,1.9341788193053788
4A-HF | 25-09-2017,0.5826976436048517,0.7574020647775779,0.17470442117272622,2.5116379141886718
4Ab-HF | 25-09-2017,0.6632925613792522,0.7677572610449843,0.10446469966573213,2.3939430217370026
50B-HF | 14-01-2019,0.9649488407691904,1.450729001268078,0.4857801604988876,2.3607412185822403
53 post-ConBis   | 20-02-2019,1.157424784960263,1.6414868682261343,0.4840620832658713,1.9980146855439862
53A-HF | 02-01-2019,1.4260159698047234,1.9055064036575724,0.47949043385284895,1.7318045450553707
55A-HF | 21-01-2019,1.1187422719216071,1.3900004142157858,0.27125814229417866,2.519932677787602
55B-HF | 25-02-2019,0.7088207828604243,1.3575529974856089,0.6487322146251846,2.921600615563399
5A-HF | 18-09-2017,1.4439108581195095,1.7671701078614115,0.323259249741902,2.1336595639856495
5B-HF | 06-11-2017,1.111105521291908,1.541719659783603,0.43061413849169483,2.172372298885521
7A-CHF | 23-11-2017,1.2273623027903513,1.4806179955329832,0.25325569274263193,1.6549117943895477
8A-HF | 23-10-2017,1.6918996442300251,1.673640802041632,-0.018258842188393132,2.311510489107701
8B-HF | 11-12-2017,0.5194379781320047,1.162095945001715,0.6426579668697103,2.506745915874045
9A_2-DB2 | 13-08-2018,0.568739840549668,1.1975391968493803,0.6287993562997123,2.9229415631029383
Glycolysis-CONBIS-29POST-29POST | 25-06-2018,0.6481127028408578,1.5605058985342364,0.9123931956933786,2.501578883803166
Glycolysis-DB-26-26 | 06-12-2017,1.0204317529054352,1.4726050084107154,0.4521732555052802,1.5749850412975794
Glycolysis-DB-26-26 | 19-02-2018,0.8758006203652258,1.428742748538279,0.5529421281730533,2.6664622133840368
X-HC | 23-10-2017,1.8084046556400781,1.8452803262778916,0.036875670637813496,2.1184030151005757
