sample_id,Interval,mean,SD,SE,size,CV
10A-HF | 30-10-2017,Int1,3.0167492975334005,0.13928640527087538,0.01198786506593772,135,4.617102434887805
10A-HF | 30-10-2017,Int2,3.8552695432551123,0.1280107233077963,0.013967114983905344,84,3.320409166507026
10A-HF | 30-10-2017,Int5,2.5892537291682665,0.13470469021695652,0.024593599144524185,30,5.202452301197499
10B-HF | 18-12-2017,Int1,2.3256316108124935,0.11300895075658074,0.01279574395944539,78,4.859279957804642
10B-HF | 18-12-2017,Int2,3.0344699174353513,0.1429511809522686,0.01618603391961021,78,4.71091112589071
10B-HF | 18-12-2017,Int5,1.8363807356323103,0.19405118238723157,0.03542873663467864,30,10.56704520048317
11-HC | 18-09-2017,Int1,2.76609440544024,0.21678776289736434,0.018868952802526394,132,7.837323356389976
11-HC | 18-09-2017,Int2,2.9800888386054085,0.17058996629231798,0.018612891269869345,84,5.724324861810124
11-HC | 18-09-2017,Int5,1.4709895882303847,0.1305570792206137,0.02467296882262159,28,8.87545909673468
11A-HF | 28-11-2017,Int1,3.1230868965884993,0.12516907316556133,0.011621656685393531,116,4.007863927907022
11A-HF | 28-11-2017,Int2,3.53293303774952,0.0963651513091373,0.01151783857875186,70,2.7276246189631137
11A-HF | 28-11-2017,Int5,2.091483475874833,0.09706165673397907,0.01903535698877707,26,4.6408043789769735
11B-HF | 15-01-2018,Int1,3.2399105780839754,0.09594081793140359,0.008758158361087646,120,2.961218083621964
11B-HF | 15-01-2018,Int2,3.909915364463955,0.07842766044207565,0.008823801186131386,79,2.0058659365080143
11B-HF | 15-01-2018,Int5,2.754891248267786,0.10741989397908969,0.020672968235049497,27,3.899242630598682
11B_2-DB2 | 14-01-2019,Int1,3.3252301271511993,0.08462242787046871,0.008636740378255103,96,2.5448592919782875
11B_2-DB2 | 14-01-2019,Int2,3.7826993570107983,0.09075943217707914,0.010847826990498952,70,2.399329780434889
11B_2-DB2 | 14-01-2019,Int5,2.26559561806047,0.131242924748822,0.024802581444439083,28,5.792866286578377
12B-HF | 22-01-2018,Int1,2.7909036540390213,0.1713813121000258,0.015644901762002866,120,6.140710441652158
12B-HF | 22-01-2018,Int2,3.330021983367433,0.1290527894480875,0.014165383933374645,83,3.8754335584771393
12B-HF | 22-01-2018,Int5,2.0374640036963405,0.132895983028039,0.025114980095117985,28,6.522617468919248
13A-HF | 26-02-2018,Int1,2.725140355765406,0.12402897560912188,0.011616377878051554,114,4.551287618882515
13A-HF | 26-02-2018,Int2,3.2055698654762117,0.12161684566380229,0.013269485738955618,84,3.7939227896296432
13A-HF | 26-02-2018,Int5,1.8080608134678742,0.17058424199930447,0.031144279099313072,30,9.434651795374217
13B-HF | 13-04-2018,Int1,2.8810212152934622,0.08678133613164395,0.009826051389424304,78,3.0121727556526987
13B-HF | 13-04-2018,Int2,3.439955159157124,0.05184283252654289,0.007482868328688057,48,1.5070787300391932
13B-HF | 13-04-2018,Int5,2.1791428162846227,0.08477399725437511,0.01998142277561947,18,3.890245128536935
14A-HF | 22-01-2018,Int1,3.0074199265155324,0.18843562861110638,0.01665551385100789,128,6.265690632349847
14A-HF | 22-01-2018,Int2,3.475870981604894,0.11798154822471223,0.01371507639646284,74,3.3943017116888874
14A-HF | 22-01-2018,Int5,2.326021745399747,0.1701506661288738,0.03106511933777147,30,7.315093526764597
14B-HF | 12-03-2018,Int1,2.6708013435183267,0.1578908758417941,0.015482474171837764,104,5.911741666034947
14B-HF | 12-03-2018,Int2,3.177517454196294,0.12267620113461111,0.014260818711960386,74,3.8607561690212724
14B-HF | 12-03-2018,Int5,1.6539834993854259,0.15150754604695488,0.03159150718920607,23,9.160160672899751
15A-HF | 15-01-2018,Int1,2.969821793810164,0.12489864879193896,0.014233522015359226,77,4.205594054574532
15A-HF | 15-01-2018,Int2,3.53555704718876,0.08585758570595839,0.013408702146372933,41,2.428403348044593
