sample_id,Interval,mean,SD,SE,size,CV
10A-HF | 30-10-2017,Int1,3.863833412943485,0.08417149017832408,0.0074690119716990366,127,2.178445113507155
10A-HF | 30-10-2017,Int2,2.8375152519897524,0.12124310382731596,0.014702885984051546,68,4.272861749105897
10A-HF | 30-10-2017,Int3,4.694778831954286,0.05610989623315543,0.00991892202953443,32,1.1951552616547578
10A-HF | 30-10-2017,Int4,2.719307335052005,0.09914965862390082,0.012393707327987603,64,3.646136549034265
10B-HF | 18-12-2017,Int1,3.3937946191037485,0.10918030686582711,0.010093722940400836,117,3.2170569854536466
10B-HF | 18-12-2017,Int2,2.254917676231546,0.2127729021430121,0.0256148473380214,69,9.43594989678743
10B-HF | 18-12-2017,Int3,4.308817295072465,0.09640054223378385,0.015436440853705137,39,2.2372854459163745
10B-HF | 18-12-2017,Int4,2.001862293149094,0.4132907653028745,0.05522830160289128,56,20.64531445131194
11-HC | 18-09-2017,Int1,3.0064910196953916,0.18052567334379155,0.016344026516008168,122,6.004530602658572
11-HC | 18-09-2017,Int2,2.028947931054499,0.277899848000383,0.03558142947179508,61,13.696746168145918
11-HC | 18-09-2017,Int3,3.649241194912802,0.0701835726979622,0.011238365923569806,39,1.9232374334642803
11-HC | 18-09-2017,Int4,1.7318144301699145,0.32403980264932575,0.03988654244475424,66,18.71100026678569
11A-HF | 28-11-2017,Int1,3.569817250310579,0.1047234951589661,0.009640579154094215,118,2.9335814081198417
11A-HF | 28-11-2017,Int2,2.6234525833868285,0.1723737462279734,0.02075136048924447,69,6.570492156768548
11A-HF | 28-11-2017,Int3,4.449529901168192,0.04896825525960997,0.009093176720373472,29,1.1005264903771903
11A-HF | 28-11-2017,Int4,2.5578916986434006,0.3321142764866853,0.03860750043468911,74,12.983906889522528
11B-HF | 15-01-2018,Int1,3.9195201729988116,0.11369668636208911,0.010169340780884181,125,2.9007807421258955
11B-HF | 15-01-2018,Int2,2.836910437839349,0.22173711662868614,0.025434991668856186,76,7.816147935835642
11B-HF | 15-01-2018,Int3,5.10562514564443,0.05938928665132387,0.009163965882158221,42,1.1632128281487413
11B-HF | 15-01-2018,Int4,2.0573688811581934,0.47706608465007994,0.05743200757888765,69,23.188164700027745
11B_2-DB2 | 14-01-2019,Int1,3.7708863888921282,0.05896146544762827,0.005838055014327321,102,1.5635969734148083
11B_2-DB2 | 14-01-2019,Int2,2.595440039804205,0.3907544429880336,0.04289087227226515,83,15.055421700957938
11B_2-DB2 | 14-01-2019,Int3,4.8800852879267245,0.08168725611483896,0.013080429511072477,39,1.6738899280496655
11B_2-DB2 | 14-01-2019,Int4,2.6083059745926,0.1541710557387944,0.0215882658884606,51,5.910773400075307
12A-HF | 06-12-2017,Int1,2.899719767215288,0.26216878134736027,0.030072821685377747,76,9.041176471998568
12A-HF | 06-12-2017,Int2,1.5376284177446378,1.044909078853334,0.1974692546656787,28,67.95589017442754
12A-HF | 06-12-2017,Int3,3.894386364765075,0.16807468998906602,0.026913489809311502,39,4.315819598942258
12A-HF | 06-12-2017,Int4,0.933117760265632,1.2298267989828122,0.18540336587953737,44,131.79759847596466
12B-HF | 22-01-2018,Int1,3.3593779912034076,0.118415630091068,0.010191594739408094,135,3.524927245494299
12B-HF | 22-01-2018,Int2,2.164495402517136,0.21993130549850828,0.028159318155597572,61,10.160858056928449
12B-HF | 22-01-2018,Int3,4.371281382974412,0.0923128504315137,0.013324212261574025,48,2.111802978208188
12B-HF | 22-01-2018,Int4,1.8392180466639536,0.2688832421381396,0.03500561647495756,59,14.619432569501514
13A-HF | 26-02-2018,Int1,3.330114028667837,0.08777473001429859,0.008012699934626182,120,2.635787521348378
13A-HF | 26-02-2018,Int2,2.3403688166108747,0.1052012288429347,0.01336056942362881,62,4.495070524622622
13A-HF | 26-02-2018,Int3,4.171233244426527,0.059090484750583414,0.009848414125097236,36,1.41661904976276
13A-HF | 26-02-2018,Int4,1.9338409656155493,0.2797860441185295,0.03344082844229613,70,14.467893125300119
13B-HF | 13-04-2018,Int1,3.656068287029336,0.08737267451938682,0.009708074946598536,81,2.389798758118375
13B-HF | 13-04-2018,Int2,2.643108089819175,0.18141965659410267,0.024029620536651763,57,6.863875801860009
13B-HF | 13-04-2018,Int3,4.372649652424252,0.070653639912478,0.012299220020702106,33,1.6158083891607171
13B-HF | 13-04-2018,Int4,2.4143487045842447,0.3441944357520645,0.04683892999431809,54,14.256202308246746
14A-HF | 22-01-2018,Int1,3.2327092830573525,0.10303487340937152,0.00982398971834912,110,3.187260727383618
14A-HF | 22-01-2018,Int2,2.25193376611543,0.28652617995860813,0.03353535280408045,73,12.723561601585814
14A-HF | 22-01-2018,Int3,4.228470309099441,0.1144178774338399,0.016514798084133267,48,2.705892889625328
14A-HF | 22-01-2018,Int4,2.204966070264893,0.3757857537682015,0.04339200121913951,75,17.04270005946425
14B-HF | 12-03-2018,Int1,2.865677725485949,0.20190336844806028,0.018508451440127006,119,7.045571337363918
14B-HF | 12-03-2018,Int2,1.7298269119546008,0.2718586260933623,0.03539297847183783,59,15.715943844703997
14B-HF | 12-03-2018,Int3,3.354525811326318,0.09560678840840968,0.014413265661890674,44,2.8500835523637993
14B-HF | 12-03-2018,Int4,1.428847146215982,0.22960136698352013,0.031538173252246234,53,16.068994335158507
15A-HF | 15-01-2018,Int1,3.413161132558999,0.11252590566557918,0.013747227370853826,67,3.296823715474971
15A-HF | 15-01-2018,Int2,2.640225042607992,0.215616039019877,0.03452619825901853,39,8.166578058319352
15A-HF | 15-01-2018,Int3,4.546020734911736,0.10973925182882575,0.019103151724694015,33,2.413962852964339
15A-HF | 15-01-2018,Int4,2.3094634642993674,0.37229219173596373,0.05318459881942339,49,16.120289300567382
