sample_id,Interval,mean,SD,SE,size,CV
10A-HF | 30-10-2017,Int1,47.647654860193015,3.9291863043861386,0.3486589043905684,127,8.246337235096027
10A-HF | 30-10-2017,Int2,17.073428283729235,2.1874993642124982,0.2652732627829296,68,12.812303000078536
10A-HF | 30-10-2017,Int3,109.3746284613938,6.081582903353248,1.0750821278273133,32,5.560323256777853
10A-HF | 30-10-2017,Int4,15.169819712785603,1.5525513714118797,0.19406892142648496,64,10.234474771663503
10B-HF | 18-12-2017,Int1,29.77873711200859,3.2084426878618464,0.2966206314223946,117,10.774273857866216
10B-HF | 18-12-2017,Int2,9.534508361178576,2.022768520449231,0.24351271392931986,69,21.215236736120428
10B-HF | 18-12-2017,Int3,74.35249985008937,7.17283296246879,1.1485724998324012,39,9.647063618480567
10B-HF | 18-12-2017,Int4,7.402848887627983,3.305572209486956,0.44172566696934024,56,44.652704109783954
11-HC | 18-09-2017,Int1,20.216351535779417,3.4448535819603188,0.3118823890500197,122,17.03993708193849
11-HC | 18-09-2017,Int2,7.606080027318369,1.986536639040448,0.25434995313512054,61,26.117745696935945
11-HC | 18-09-2017,Int3,38.44548235047562,2.778404686283379,0.4449008129379598,39,7.226869105074465
11-HC | 18-09-2017,Int4,5.650939790661366,2.0001841280169486,0.2462056465508027,66,35.395601477163396
11A-HF | 28-11-2017,Int1,35.510106432499114,3.7621906511679213,0.34633772211595537,118,10.59470395651852
11A-HF | 28-11-2017,Int2,13.783229277625978,2.553523886650611,0.3074081514693228,69,18.52631074486798
11A-HF | 28-11-2017,Int3,85.58670033584521,4.149672009416006,0.7705747471123515,29,4.8485009857051935
11A-HF | 28-11-2017,Int4,12.908578809708944,4.12883817028199,0.4799676880506326,74,31.98522650050804
11B-HF | 15-01-2018,Int1,50.37626708480798,5.529376677981466,0.4945624850067409,125,10.976154046255177
11B-HF | 15-01-2018,Int2,17.063188422100794,3.842298908056907,0.4407419118709667,76,22.518059421299228
11B-HF | 15-01-2018,Int3,164.95151275708469,9.719061744872358,1.499683785722219,42,5.892071907934001
11B-HF | 15-01-2018,Int4,7.825353265501693,4.540299032721671,0.546587772318691,69,58.02037146026004
11B_2-DB2 | 14-01-2019,Int1,43.418533495254124,2.547479040711607,0.2522380112945173,102,5.867261824930268
11B_2-DB2 | 14-01-2019,Int2,13.402483690301935,7.645323624861025,0.8391832900645673,83,57.04408079521258
11B_2-DB2 | 14-01-2019,Int3,131.64189087100277,10.291667317969543,1.6479856872026155,39,7.817927294932623
11B_2-DB2 | 14-01-2019,Int4,13.576033215905959,2.2348813673664716,0.3129459868888556,51,16.461961545203344
12A-HF | 06-12-2017,Int1,18.169068735623362,4.777028044771045,0.547962697305702,76,26.29209077405777
12A-HF | 06-12-2017,Int2,4.653654199287802,5.522987468834222,1.043746524047246,28,118.68065894710146
12A-HF | 06-12-2017,Int3,49.1258987292497,8.596727889416721,1.3765781656970029,39,17.49938039158601
12A-HF | 06-12-2017,Int4,2.5429445794084047,7.18610811957859,1.0833465607076627,44,282.59004060758485
12B-HF | 22-01-2018,Int1,28.771289317310682,3.236202415221188,0.27852795686906406,135,11.248027085369712
12B-HF | 22-01-2018,Int2,8.71020565992321,2.0435770244211375,0.26165322610943403,61,23.461868803212095
12B-HF | 22-01-2018,Int3,79.14740091937033,7.202824565805335,1.03963817549834,48,9.100519388050472
12B-HF | 22-01-2018,Int4,6.291616586438615,1.778723652053209,0.23157009519664118,59,28.271329436812675
13A-HF | 26-02-2018,Int1,27.941532681744647,2.406111212908337,0.21964689786266858,120,8.61123561228389
13A-HF | 26-02-2018,Int2,10.385066901357835,1.0879826444291154,0.13817393401650077,62,10.476414401209713
