Sample,variable,value
10A-HF | 30-10-2017,log.Basal.Glyco,0.427495568365134
10B-HF | 18-12-2017,log.Basal.Glyco,0.4892508751801832
11-HC | 18-09-2017,log.Basal.Glyco,1.2951048172098552
11A-HF | 28-11-2017,log.Basal.Glyco,1.0316034207136662
11B-HF | 15-01-2018,log.Basal.Glyco,0.48501932981618934
11B_2-DB2 | 14-01-2019,log.Basal.Glyco,1.059634509090729
12B-HF | 22-01-2018,log.Basal.Glyco,0.7534396503426808
13A-HF | 26-02-2018,log.Basal.Glyco,0.917079542297532
13B-HF | 13-04-2018,log.Basal.Glyco,0.7018783990088395
14A-HF | 22-01-2018,log.Basal.Glyco,0.6813981811157852
14B-HF | 12-03-2018,log.Basal.Glyco,1.0168178441329008
15A-HF | 15-01-2018,log.Basal.Glyco,0.8461620380273382
17A-HF | 12-03-2018,log.Basal.Glyco,1.0041593619239333
17B-HF | 30-04-2018,log.Basal.Glyco,0.7032968799462433
18A-HF | 12-02-2018,log.Basal.Glyco,0.6287251478738907
18B-HF | 03-04-2018,log.Basal.Glyco,1.345634571390471
19B-HF | 09-04-2018,log.Basal.Glyco,0.42339198490009533
1A-HF | 14-08-2017,log.Basal.Glyco,1.3593525165332196
1B- | 02-10-2017,log.Basal.Glyco,1.4495411132364384
22A-HF | 09-04-2018,log.Basal.Glyco,0.8521732185370174
22B-HF | 28-05-2018,log.Basal.Glyco,0.8620642085455099
22Bb-HF | 28-05-2018,log.Basal.Glyco,0.8704988825060398
24A-HF | 12-04-2018,log.Basal.Glyco,1.1572936318042357
24B-HF | 04-06-2018,log.Basal.Glyco,0.895811011536678
25A-HF | 05-03-2018,log.Basal.Glyco,0.7330009911405255
25B-HF | 23-04-2018,log.Basal.Glyco,0.3599697867528593
26A-HF | 23-04-2018,log.Basal.Glyco,0.04490061993935379
26B-HF | 11-06-2018,log.Basal.Glyco,0.9111406774292132
27A-HF | 30-04-2018,log.Basal.Glyco,0.13624543861141358
27B-HF | 18-06-2018,log.Basal.Glyco,0.40818231636980107
27Bb-HF | 18-06-2018,log.Basal.Glyco,0.37799510052562724
29A-HF | 08-05-2018,log.Basal.Glyco,1.4669227373755507
2B_2-DB2 | 12-02-2018,log.Basal.Glyco,0.8236105953600603
31A-HF | 13-08-2018,log.Basal.Glyco,0.5843385656802913
31Bt-HF | 01-10-2018,log.Basal.Glyco,0.7204939985576413
32A-HF | 15-05-2018,log.Basal.Glyco,1.083993265018738
32Ab- | 15-05-2018,log.Basal.Glyco,1.2536563324178283
32B-HF | 29-06-2018,log.Basal.Glyco,0.9465862001804455
33A-HF | 20-08-2018,log.Basal.Glyco,0.906837599010907
33B-HF | 08-10-2018,log.Basal.Glyco,2.4850703798952285
34B-HF | 14-11-2018,log.Basal.Glyco,0.6596544684498231
36A-HF | 27-08-2018,log.Basal.Glyco,1.0894845245986016
36B-HF | 15-10-2018,log.Basal.Glyco,0.8276548786962343
39 post-ConBis  | 23-11-2018,log.Basal.Glyco,1.0010411929435379
39A-HF | 15-10-2018,log.Basal.Glyco,1.1127662324337226
3A-HF | 28-08-2017,log.Basal.Glyco,1.2176690603686606
3Ab-HF | 28-08-2017,log.Basal.Glyco,1.1230791734336272
4 post-Conbis  | 13-11-2017,log.Basal.Glyco,0.8955909862720768
40A-HF | 07-01-2019,log.Basal.Glyco,0.18607826784287074
40B-HF | 25-02-2019,log.Basal.Glyco,0.6317115910010918
42B-HF | 19-11-2018,log.Basal.Glyco,1.134204817580478
43A-HF | 15-10-2018,log.Basal.Glyco,0.7115832481831146
43B-HF | 05-12-2018,log.Basal.Glyco,0.5531577899510376
44A-HF | 29-10-2018,log.Basal.Glyco,0.9379585078014574
46A-HF | 19-11-2018,log.Basal.Glyco,0.30309064860777557
46B-HF | 07-01-2019,log.Basal.Glyco,0.48726915994219455
48 post-ConBis  | 21-12-2018,log.Basal.Glyco,1.390161916129391
48 pre- | 05-11-2018,log.Basal.Glyco,0.9334474398265349
49A-HF | 05-12-2018,log.Basal.Glyco,0.2593273125162545
49B-HF | 22-01-2019,log.Basal.Glyco,1.0649534603952806
4A-HF | 25-09-2017,log.Basal.Glyco,0.5826976436048517
4Ab-HF | 25-09-2017,log.Basal.Glyco,0.6632925613792522
50B-HF | 14-01-2019,log.Basal.Glyco,0.9649488407691904
53 post-ConBis   | 20-02-2019,log.Basal.Glyco,1.157424784960263
53A-HF | 02-01-2019,log.Basal.Glyco,1.4260159698047234
55A-HF | 21-01-2019,log.Basal.Glyco,1.1187422719216071
55B-HF | 25-02-2019,log.Basal.Glyco,0.7088207828604243
5A-HF | 18-09-2017,log.Basal.Glyco,1.4439108581195095
5B-HF | 06-11-2017,log.Basal.Glyco,1.111105521291908
7A-CHF | 23-11-2017,log.Basal.Glyco,1.2273623027903513
8A-HF | 23-10-2017,log.Basal.Glyco,1.6918996442300251
8B-HF | 11-12-2017,log.Basal.Glyco,0.5194379781320047
9A_2-DB2 | 13-08-2018,log.Basal.Glyco,0.568739840549668
Glycolysis-CONBIS-29POST-29POST | 25-06-2018,log.Basal.Glyco,0.6481127028408578
Glycolysis-DB-26-26 | 06-12-2017,log.Basal.Glyco,1.0204317529054352
Glycolysis-DB-26-26 | 19-02-2018,log.Basal.Glyco,0.8758006203652258
X-HC | 23-10-2017,log.Basal.Glyco,1.8084046556400781
10A-HF | 30-10-2017,log.Max.Glyco.Cpcty,1.2660158140868458
10B-HF | 18-12-2017,log.Max.Glyco.Cpcty,1.198089181803041
11-HC | 18-09-2017,log.Max.Glyco.Cpcty,1.5090992503750238
11A-HF | 28-11-2017,log.Max.Glyco.Cpcty,1.4414495618746868
11B-HF | 15-01-2018,log.Max.Glyco.Cpcty,1.1550241161961687
11B_2-DB2 | 14-01-2019,log.Max.Glyco.Cpcty,1.5171037389503281
12B-HF | 22-01-2018,log.Max.Glyco.Cpcty,1.2925579796710926
13A-HF | 26-02-2018,log.Max.Glyco.Cpcty,1.3975090520083375
13B-HF | 13-04-2018,log.Max.Glyco.Cpcty,1.260812342872501
14A-HF | 22-01-2018,log.Max.Glyco.Cpcty,1.1498492362051467
14B-HF | 12-03-2018,log.Max.Glyco.Cpcty,1.523533954810868
15A-HF | 15-01-2018,log.Max.Glyco.Cpcty,1.4118972914059342
17A-HF | 12-03-2018,log.Max.Glyco.Cpcty,1.3851009273816393
17B-HF | 30-04-2018,log.Max.Glyco.Cpcty,1.2108719801750847
18A-HF | 12-02-2018,log.Max.Glyco.Cpcty,1.3361579931120366
18B-HF | 03-04-2018,log.Max.Glyco.Cpcty,1.6278996498632852
19B-HF | 09-04-2018,log.Max.Glyco.Cpcty,1.146832654025141
1A-HF | 14-08-2017,log.Max.Glyco.Cpcty,1.7414564258443441
1B- | 02-10-2017,log.Max.Glyco.Cpcty,1.526386760628076
22A-HF | 09-04-2018,log.Max.Glyco.Cpcty,1.3008235679380182
22B-HF | 28-05-2018,log.Max.Glyco.Cpcty,1.3851648345541654
22Bb-HF | 28-05-2018,log.Max.Glyco.Cpcty,1.4034023627373524
24A-HF | 12-04-2018,log.Max.Glyco.Cpcty,1.5089249833549556
24B-HF | 04-06-2018,log.Max.Glyco.Cpcty,1.4144630390159167
25A-HF | 05-03-2018,log.Max.Glyco.Cpcty,1.2973503318105177
25B-HF | 23-04-2018,log.Max.Glyco.Cpcty,1.1901959679231489
26A-HF | 23-04-2018,log.Max.Glyco.Cpcty,0.9294190754519627
26B-HF | 11-06-2018,log.Max.Glyco.Cpcty,1.3950292152794366
27A-HF | 30-04-2018,log.Max.Glyco.Cpcty,0.9388864756512154
27B-HF | 18-06-2018,log.Max.Glyco.Cpcty,1.2521262361774852
27Bb-HF | 18-06-2018,log.Max.Glyco.Cpcty,1.1841792511093239
29A-HF | 08-05-2018,log.Max.Glyco.Cpcty,1.5656835449259368
2B_2-DB2 | 12-02-2018,log.Max.Glyco.Cpcty,1.3679714788319632
31A-HF | 13-08-2018,log.Max.Glyco.Cpcty,1.20516116576897
31Bt-HF | 01-10-2018,log.Max.Glyco.Cpcty,1.230711390332417
32A-HF | 15-05-2018,log.Max.Glyco.Cpcty,1.5634331161380008
32Ab- | 15-05-2018,log.Max.Glyco.Cpcty,1.6638761500441186
32B-HF | 29-06-2018,log.Max.Glyco.Cpcty,1.4906316729204763
33A-HF | 20-08-2018,log.Max.Glyco.Cpcty,1.4503046292076767
33B-HF | 08-10-2018,log.Max.Glyco.Cpcty,2.7121390685510165
34B-HF | 14-11-2018,log.Max.Glyco.Cpcty,1.3170440992490913
36A-HF | 27-08-2018,log.Max.Glyco.Cpcty,1.4725825293186894
36B-HF | 15-10-2018,log.Max.Glyco.Cpcty,1.3171218298552714
39 post-ConBis  | 23-11-2018,log.Max.Glyco.Cpcty,1.363404742775478
39A-HF | 15-10-2018,log.Max.Glyco.Cpcty,1.438672208289967
3A-HF | 28-08-2017,log.Max.Glyco.Cpcty,1.6274840998646032
3Ab-HF | 28-08-2017,log.Max.Glyco.Cpcty,1.5280434006865335
4 post-Conbis  | 13-11-2017,log.Max.Glyco.Cpcty,1.5824527519080194
40A-HF | 07-01-2019,log.Max.Glyco.Cpcty,0.9482930406955319
40B-HF | 25-02-2019,log.Max.Glyco.Cpcty,1.1076355936681317
42B-HF | 19-11-2018,log.Max.Glyco.Cpcty,1.4041550497415596
43A-HF | 15-10-2018,log.Max.Glyco.Cpcty,1.3247417341449048
43B-HF | 05-12-2018,log.Max.Glyco.Cpcty,1.1470865249514217
44A-HF | 29-10-2018,log.Max.Glyco.Cpcty,1.4533577962933033
46A-HF | 19-11-2018,log.Max.Glyco.Cpcty,0.7072532601636756
46B-HF | 07-01-2019,log.Max.Glyco.Cpcty,1.236541440334074
48 post-ConBis  | 21-12-2018,log.Max.Glyco.Cpcty,1.594105004313553
48 pre- | 05-11-2018,log.Max.Glyco.Cpcty,1.5812924436846596
49A-HF | 05-12-2018,log.Max.Glyco.Cpcty,0.7867045770483205
49B-HF | 22-01-2019,log.Max.Glyco.Cpcty,1.4861234574093096
4A-HF | 25-09-2017,log.Max.Glyco.Cpcty,0.7574020647775779
4Ab-HF | 25-09-2017,log.Max.Glyco.Cpcty,0.7677572610449843
50B-HF | 14-01-2019,log.Max.Glyco.Cpcty,1.450729001268078
53 post-ConBis   | 20-02-2019,log.Max.Glyco.Cpcty,1.6414868682261343
53A-HF | 02-01-2019,log.Max.Glyco.Cpcty,1.9055064036575724
55A-HF | 21-01-2019,log.Max.Glyco.Cpcty,1.3900004142157858
55B-HF | 25-02-2019,log.Max.Glyco.Cpcty,1.3575529974856089
5A-HF | 18-09-2017,log.Max.Glyco.Cpcty,1.7671701078614115
5B-HF | 06-11-2017,log.Max.Glyco.Cpcty,1.541719659783603
7A-CHF | 23-11-2017,log.Max.Glyco.Cpcty,1.4806179955329832
8A-HF | 23-10-2017,log.Max.Glyco.Cpcty,1.673640802041632
8B-HF | 11-12-2017,log.Max.Glyco.Cpcty,1.162095945001715
9A_2-DB2 | 13-08-2018,log.Max.Glyco.Cpcty,1.1975391968493803
Glycolysis-CONBIS-29POST-29POST | 25-06-2018,log.Max.Glyco.Cpcty,1.5605058985342364
Glycolysis-DB-26-26 | 06-12-2017,log.Max.Glyco.Cpcty,1.4726050084107154
Glycolysis-DB-26-26 | 19-02-2018,log.Max.Glyco.Cpcty,1.428742748538279
X-HC | 23-10-2017,log.Max.Glyco.Cpcty,1.8452803262778916
10A-HF | 30-10-2017,log.Glyco.Rsrv.Cpcty,0.8385202457217118
10B-HF | 18-12-2017,log.Glyco.Rsrv.Cpcty,0.70883830662285785
11-HC | 18-09-2017,log.Glyco.Rsrv.Cpcty,0.21399443316516864
11A-HF | 28-11-2017,log.Glyco.Rsrv.Cpcty,0.4098461411610206
11B-HF | 15-01-2018,log.Glyco.Rsrv.Cpcty,0.6700047863799794
