Sample,variable,value
10A-HF | 30-10-2017,log.Basal.Resp,1.1445260778914799
10B-HF | 18-12-2017,log.Basal.Resp,1.3919323259546545
11-HC | 18-09-2017,log.Basal.Resp,1.274676589525477
11A-HF | 28-11-2017,log.Basal.Resp,1.0119255516671783
11B-HF | 15-01-2018,log.Basal.Resp,1.8621512918406182
11B_2-DB2 | 14-01-2019,log.Basal.Resp,1.1625804142995282
12A-HF | 06-12-2017,log.Basal.Resp,1.966602006949656
12B-HF | 22-01-2018,log.Basal.Resp,1.520159944539454
13A-HF | 26-02-2018,log.Basal.Resp,1.3962730630522877
13B-HF | 13-04-2018,log.Basal.Resp,1.2417195824450915
14A-HF | 22-01-2018,log.Basal.Resp,1.0277432127924593
14B-HF | 12-03-2018,log.Basal.Resp,1.436830579269967
15A-HF | 15-01-2018,log.Basal.Resp,1.1036976682596316
17A-HF | 12-03-2018,log.Basal.Resp,0.8270335346427158
17B-HF | 30-04-2018,log.Basal.Resp,1.0746659552463709
18A-HF | 12-02-2018,log.Basal.Resp,1.1789601672031242
18B-HF | 03-04-2018,log.Basal.Resp,1.6208152775593636
19A-HF | 19-02-2018,log.Basal.Resp,1.3890953927230978
19B-HF | 09-04-2018,log.Basal.Resp,1.1140291795878885
1A-HF | 14-08-2017,log.Basal.Resp,0.11678582787351299
1B- | 02-10-2017,log.Basal.Resp,0.6082510877259368
22A-HF | 09-04-2018,log.Basal.Resp,1.0990493895925444
22B-HF | 28-05-2018,log.Basal.Resp,1.0728996370803463
22Bb-HF | 28-05-2018,log.Basal.Resp,1.0857168597281412
24A-HF | 12-04-2018,log.Basal.Resp,1.1519353845566327
24B-HF | 04-06-2018,log.Basal.Resp,1.2499691718045134
25A-HF | 05-03-2018,log.Basal.Resp,1.4739416612484892
25B-HF | 23-04-2018,log.Basal.Resp,1.030964870512633
26A-HF | 23-04-2018,log.Basal.Resp,1.0168127259645847
26B-HF | 11-06-2018,log.Basal.Resp,1.3292109066987208
27A-HF | 30-04-2018,log.Basal.Resp,1.2351150602517804
27B-HF | 18-06-2018,log.Basal.Resp,1.0572913864089961
27Bb-HF | 18-06-2018,log.Basal.Resp,1.0351436158788152
29A-HF | 08-05-2018,log.Basal.Resp,1.0706764222237815
2B_2-DB2 | 12-02-2018,log.Basal.Resp,1.0406114737547174
31A-HF | 13-08-2018,log.Basal.Resp,1.4056044385867654
31B-HF | 01-10-2018,log.Basal.Resp,1.088471769701942
32A-HF | 15-05-2018,log.Basal.Resp,1.0520704343876264
32Ab-HF | 15-05-2018,log.Basal.Resp,0.9783729828183043
32B-HF | 29-06-2018,log.Basal.Resp,1.1740286246361125
33A-HF | 20-08-2018,log.Basal.Resp,1.151732267460651
33B-HF | 08-10-2018,log.Basal.Resp,0.9139950538161075
34B-HF | 14-11-2018,log.Basal.Resp,1.0560379433491187
36A-HF | 27-08-2018,log.Basal.Resp,1.0614392298151483
36B-HF | 15-10-2018,log.Basal.Resp,0.992467645830954
39 post-ConBis  | 23-11-2018,log.Basal.Resp,1.1439935183519871
39A-HF | 15-10-2018,log.Basal.Resp,1.0333053692373122
3A-HF | 28-08-2017,log.Basal.Resp,0.9340258449979588
3Ab-HF | 28-08-2017,log.Basal.Resp,0.9852626200427506
40A-HF | 07-01-2019,log.Basal.Resp,1.5062565943239927
40B-HF | 25-02-2019,log.Basal.Resp,1.074185378995136
42B-HF | 19-11-2018,log.Basal.Resp,1.2941129290065747
43A-HF | 15-10-2018,log.Basal.Resp,1.0395440215608818
43B-HF | 05-12-2018,log.Basal.Resp,1.053922398030286
44A-HF | 29-10-2018,log.Basal.Resp,1.1652795151486899
46A-HF | 19-11-2018,log.Basal.Resp,1.6664297718721959
46B-HF | 07-01-2019,log.Basal.Resp,1.542345605468579
48 pre- | 05-11-2018,log.Basal.Resp,1.0518572768199226
48B-HF | 21-12-2018,log.Basal.Resp,1.4698606060830162
49A-HF | 05-12-2018,log.Basal.Resp,0.9645860069445531
49B-HF | 22-01-2019,log.Basal.Resp,1.119027694237742
4A-HF | 25-09-2017,log.Basal.Resp,0.991347010340081
4Ab-HF | 25-09-2017,log.Basal.Resp,1.1422882147556193
4B-HF | 13-11-2017,log.Basal.Resp,1.2166083150477656
50A-HF | 26-11-2018,log.Basal.Resp,1.069885696935549
50B-HF | 14-01-2019,log.Basal.Resp,1.3329937801933167
53 post-ConBis   | 20-02-2019,log.Basal.Resp,1.1284178612942561
53A-HF | 02-01-2019,log.Basal.Resp,1.0478541533098267
55A-HF | 21-01-2019,log.Basal.Resp,1.6127920249947665
55B-HF | 25-02-2019,log.Basal.Resp,0.990734023635913
5A-HF | 18-09-2017,log.Basal.Resp,1.210977163075548
5B-HF | 06-11-2017,log.Basal.Resp,1.1927458446154042
7A-HF | 23-11-2017,log.Basal.Resp,1.2262166595188668
8A-HF | 23-10-2017,log.Basal.Resp,0.017512566435830212
8B-HF | 11-12-2017,log.Basal.Resp,1.2457876842640427
9A_2-DB2 | 13-08-2018,log.Basal.Resp,1.3023145578722208
X-HC | 23-10-2017,log.Basal.Resp,-0.061746167993360856
Y-HC | 28-11-2017,log.Basal.Resp,1.2215770806743396
10A-HF | 30-10-2017,log.ATP.linked.Resp,1.0263181609537324
10B-HF | 18-12-2017,log.ATP.linked.Resp,1.1388769428722023
11-HC | 18-09-2017,log.ATP.linked.Resp,0.9775430886408927
11A-HF | 28-11-2017,log.ATP.linked.Resp,0.9463646669237504
11B-HF | 15-01-2018,log.ATP.linked.Resp,1.0826097351594628
11B_2-DB2 | 14-01-2019,log.ATP.linked.Resp,1.1754463490879234
12A-HF | 06-12-2017,log.ATP.linked.Resp,1.3620913494706501
12B-HF | 22-01-2018,log.ATP.linked.Resp,1.1948825886862715
13A-HF | 26-02-2018,log.ATP.linked.Resp,0.9897452120569623
13B-HF | 13-04-2018,log.ATP.linked.Resp,1.0129601972101612
14A-HF | 22-01-2018,log.ATP.linked.Resp,0.9807755169419226
14B-HF | 12-03-2018,log.ATP.linked.Resp,1.135850813531348
15A-HF | 15-01-2018,log.ATP.linked.Resp,0.7729360899510072
