Sample,variable,value
10A-HF | 30-10-2017,Basal.Resp,32.47783514740741
10B-HF | 18-12-2017,Basal.Resp,22.375888224380606
11-HC | 18-09-2017,Basal.Resp,14.565411745118052
11A-HF | 28-11-2017,Basal.Resp,22.601527622790172
11B-HF | 15-01-2018,Basal.Resp,42.55091381930629
11B_2-DB2 | 14-01-2019,Basal.Resp,29.842500279348165
12A-HF | 06-12-2017,Basal.Resp,15.626124156214958
12B-HF | 22-01-2018,Basal.Resp,22.479672730872068
13A-HF | 26-02-2018,Basal.Resp,21.02550791814398
13B-HF | 13-04-2018,Basal.Resp,27.5256433961914
14A-HF | 22-01-2018,Basal.Resp,16.2783455980398
14B-HF | 12-03-2018,Basal.Resp,13.387066137775658
15A-HF | 15-01-2018,Basal.Resp,20.29204726821731
17A-HF | 12-03-2018,Basal.Resp,7.692656519964465
17B-HF | 30-04-2018,Basal.Resp,27.990059219103895
18A-HF | 12-02-2018,Basal.Resp,23.70616230764327
18B-HF | 03-04-2018,Basal.Resp,13.099866190654641
19A-HF | 19-02-2018,Basal.Resp,35.58411245853911
19B-HF | 09-04-2018,Basal.Resp,31.236828593960325
1A-HF | 14-08-2017,Basal.Resp,2.0819003764089246
1B- | 02-10-2017,Basal.Resp,9.19598012378069
22A-HF | 09-04-2018,Basal.Resp,19.782906074848587
22B-HF | 28-05-2018,Basal.Resp,23.740834948511477
22Bb-HF | 28-05-2018,Basal.Resp,24.874790103026758
24A-HF | 12-04-2018,Basal.Resp,11.877941672689976
24B-HF | 04-06-2018,Basal.Resp,44.39292258058503
25A-HF | 05-03-2018,Basal.Resp,11.880998813254987
25B-HF | 23-04-2018,Basal.Resp,46.973488517189026
26A-HF | 23-04-2018,Basal.Resp,34.46247181503575
26B-HF | 11-06-2018,Basal.Resp,31.82116790335983
27A-HF | 30-04-2018,Basal.Resp,56.246890109243196
27B-HF | 18-06-2018,Basal.Resp,39.41268179809085
27Bb-HF | 18-06-2018,Basal.Resp,39.04799213668183
29A-HF | 08-05-2018,Basal.Resp,25.487924867317684
2B_2-DB2 | 12-02-2018,Basal.Resp,30.965996339059828
31A-HF | 13-08-2018,Basal.Resp,65.23125560940065
31B-HF | 01-10-2018,Basal.Resp,39.01655547243712
32A-HF | 15-05-2018,Basal.Resp,26.286060502209228
32Ab-HF | 15-05-2018,Basal.Resp,23.18005400683913
32B-HF | 29-06-2018,Basal.Resp,31.473074121597218
