Sample,variable,value
10A_1x-DB2 | 16-Oct-18 ,Basal.Glyco,13.172610686619818
10A_1y-DB2 | 16-Oct-18 ,Basal.Glyco,11.109435259775953
10A_2x-DB2 | 08-Nov-18 ,Basal.Glyco,13.156132856277978
10A_2y-DB2 | 08-Nov-18 ,Basal.Glyco,11.844972590020085
10A_3x-DB2 | 20-Nov-18 ,Basal.Glyco,12.471679040649526
10A_3y-DB2 | 20-Nov-18 ,Basal.Glyco,12.47822006023658
10A_4x-DB2 | 14-Dec-18 ,Basal.Glyco,45.16634274890891
10A_4y-DB2 | 14-Dec-18 ,Basal.Glyco,46.00537995896766
11B_1x-DB2 | 20-Dec-18 ,Basal.Glyco,13.269434467079172
11B_1y-DB2 | 20-Dec-18 ,Basal.Glyco,10.707415939245426
11B_3x-DB2 | 23-01-2019,Basal.Glyco,11.85170964270435
11B_3y-DB2 | 23-01-2019,Basal.Glyco,10.566677206664547
11B_4x-DB2 | 18-Feb-19 ,Basal.Glyco,13.080843648259318
11B_4y-DB2 | 18-Feb-19 ,Basal.Glyco,12.682162348107452
1A_1x-DB2 | 09-10-2017,Basal.Glyco,14.401480707692068
1A_1y-DB2 | 09-10-2017,Basal.Glyco,16.01567095949436
1A_2x-DB2 | 03-11-2017,Basal.Glyco,25.09903590614508
1A_2y-DB2 | 03-11-2017,Basal.Glyco,33.23081907255856
1A_3x-DB2 | 14-11-2017,Basal.Glyco,12.96535228033097
1A_3y-DB2 | 14-11-2017,Basal.Glyco,13.131242199064694
1A_4x-DB2 | 07-12-2017,Basal.Glyco,9.471918376438676
1A_4y-DB2 | 07-12-2017,Basal.Glyco,9.258735496821071
2B_1x-DB2 | 17-01-2018,Basal.Glyco,8.810864800418242
2B_1y-DB2 | 17-01-2018,Basal.Glyco,8.980547051934462
2B_3x-DB2 | 20-Feb-18 ,Basal.Glyco,8.461389445148484
2B_3y-DB2 | 20-Feb-18 ,Basal.Glyco,8.961400526623699
2B_4x-DB2 | 15-03-2018,Basal.Glyco,14.113311701070561
2B_4y-DB2 | 15-03-2018,Basal.Glyco,13.951593200651708
3B_1x-DB2 | 31-01-2018,Basal.Glyco,4.692368193611374
3B_1y-DB2 | 31-01-2018,Basal.Glyco,4.979336422762193
3B_2x-DB2 | 23-Feb-18 ,Basal.Glyco,9.916305779258556
3B_2y-DB2 | 23-Feb-18 ,Basal.Glyco,9.4368411224748
3B_3x-DB2 | 07-03-2018,Basal.Glyco,9.544704486983937
3B_3y-DB2 | 07-03-2018,Basal.Glyco,9.794144203449957
3B_4x-DB2 | 28-03-2018,Basal.Glyco,8.690816822186433
3B_4y-DB2 | 28-03-2018,Basal.Glyco,8.128082039537757
4A_1x-DB2 | 09-01-2018,Basal.Glyco,5.936035975434226
4A_1y-DB2 | 09-01-2018,Basal.Glyco,5.934851069131723
4A_3x-DB2 | 13-02-2018,Basal.Glyco,8.370610222738105
4A_3y-DB2 | 13-02-2018,Basal.Glyco,8.22592800424084
4A_4x-DB2 | 09-03-2018,Basal.Glyco,11.17164040877958
4A_4y-DB2 | 09-03-2018,Basal.Glyco,7.686257069133429
5A_1-DB2 | 27-03-2018,Basal.Glyco,8.744116176153181
5A_2x-DB2 | 23-04-2018,Basal.Glyco,8.218489233330327
5A_2y-DB2 | 23-04-2018,Basal.Glyco,9.207830022997012
5A_3-DB2 | 02-05-2018,Basal.Glyco,15.287346665596246
5A_4x-DB2 | 25-05-2018,Basal.Glyco,17.44052082898692
5A_4y-DB2 | 25-05-2018,Basal.Glyco,16.504240916787005
6G_1-DB2 | 27-03-2018,Basal.Glyco,10.30387307168743
6G_2x-DB2 | 19-04-2018,Basal.Glyco,13.23851367808638
6G_2y-DB2 | 19-04-2018,Basal.Glyco,10.53301891917306
6G_3-DB2 | 02-05-2018,Basal.Glyco,15.214126026295666
6G_4x-DB2 | 24-05-2018,Basal.Glyco,11.541495486398873
6G_4y-DB2 | 24-05-2018,Basal.Glyco,11.348521086448867
7A_2x-DB2 | 17-08-2018,Basal.Glyco,11.642215640205801
7A_2y-DB2 | 17-08-2018,Basal.Glyco,12.18285264832442
7A_3x-DB2 | 29-08-2018,Basal.Glyco,11.131375980033601
7A_3y-DB2 | 29-08-2018,Basal.Glyco,10.365366071241057
7A_4x-DB2 | 21-09-2018,Basal.Glyco,15.41832164182538
7A_4y-DB2 | 21-09-2018,Basal.Glyco,14.358115223477789
9A_1x-DB2 | 02-07-2018,Basal.Glyco,12.662517164714188
9A_1y-DB2 | 02-07-2018,Basal.Glyco,11.29187403451089
9A_3x-DB2 | 23-Aug-18 ,Basal.Glyco,20.27955833378575
9A_3y-DB2 | 23-Aug-18 ,Basal.Glyco,16.85119181589587
9A_4x-DB2 | 17-Sep-18 ,Basal.Glyco,7.225038009902086
10A_1x-DB2 | 16-Oct-18 ,Max.Glyco.Cpcty,45.29610408781032
10A_1y-DB2 | 16-Oct-18 ,Max.Glyco.Cpcty,41.869455595730074
10A_2x-DB2 | 08-Nov-18 ,Max.Glyco.Cpcty,43.573859325035784
10A_2y-DB2 | 08-Nov-18 ,Max.Glyco.Cpcty,40.713701489439416
10A_3x-DB2 | 20-Nov-18 ,Max.Glyco.Cpcty,40.14118345415919
10A_3y-DB2 | 20-Nov-18 ,Max.Glyco.Cpcty,38.698412315754595
10A_4x-DB2 | 14-Dec-18 ,Max.Glyco.Cpcty,96.95804935056773
10A_4y-DB2 | 14-Dec-18 ,Max.Glyco.Cpcty,93.79351430302884
11B_1x-DB2 | 20-Dec-18 ,Max.Glyco.Cpcty,37.51434473779449
11B_1y-DB2 | 20-Dec-18 ,Max.Glyco.Cpcty,35.79172395889654
11B_3x-DB2 | 23-01-2019,Max.Glyco.Cpcty,30.7757262418543
11B_3y-DB2 | 23-01-2019,Max.Glyco.Cpcty,31.236395330406555
11B_4x-DB2 | 18-Feb-19 ,Max.Glyco.Cpcty,39.32517063119359
11B_4y-DB2 | 18-Feb-19 ,Max.Glyco.Cpcty,41.24528494363053
1A_1x-DB2 | 09-10-2017,Max.Glyco.Cpcty,28.585724499122378
1A_1y-DB2 | 09-10-2017,Max.Glyco.Cpcty,29.593013884973043
1A_2x-DB2 | 03-11-2017,Max.Glyco.Cpcty,42.20679760104753
1A_2y-DB2 | 03-11-2017,Max.Glyco.Cpcty,39.82832430140128
1A_3x-DB2 | 14-11-2017,Max.Glyco.Cpcty,31.39983977816619
1A_3y-DB2 | 14-11-2017,Max.Glyco.Cpcty,31.406291479188678
1A_4x-DB2 | 07-12-2017,Max.Glyco.Cpcty,28.121510552569266
1A_4y-DB2 | 07-12-2017,Max.Glyco.Cpcty,27.554990728568033
2B_1x-DB2 | 17-01-2018,Max.Glyco.Cpcty,20.49570329465383
2B_1y-DB2 | 17-01-2018,Max.Glyco.Cpcty,21.24565839432943
