Sample,log.Basal.Glyco,log.Max.Glyco.Cpcty,log.Glyco.Rsrv.Cpcty,log.Non.Glyco.Acid.
10A_1x-DB2 | 16-Oct-18 ,0.6624868163569819,1.442360315757072,0.77987349940009,2.6405730677612667
10A_1y-DB2 | 16-Oct-18 ,0.5596543358405226,1.3420416340067325,0.7823872981662099,2.69539665921808
10A_2x-DB2 | 08-Nov-18 ,0.5723514150538547,1.2692697437395397,0.696918328685685,2.8351419660490853
10A_2y-DB2 | 08-Nov-18 ,0.5103864791887376,1.1905798954225544,0.6801934162338168,2.8784549467689944
10A_3x-DB2 | 20-Nov-18 ,0.5726421150364995,1.2492853791128047,0.6766432640763052,2.7809841476013446
10A_3y-DB2 | 20-Nov-18 ,0.531227937220657,1.1549988272224603,0.6237708900018033,2.87922872557274
10A_4x-DB2 | 14-Dec-18 ,1.1690161011502278,1.7514788148742344,0.5824627137240066,3.0133764812114023
10A_4y-DB2 | 14-Dec-18 ,1.2054199349416974,1.7521361727531088,0.5467162378114114,2.9794014557945054
11B_1x-DB2 | 20-Dec-18 ,0.5666810407800904,1.149098647702651,0.5824176069225606,2.8567772083604215
11B_1y-DB2 | 20-Dec-18 ,0.44351952122994476,1.0528604699104953,0.6093409486805506,2.954006922076805
11B_3x-DB2 | 23-01-2019,0.810616208833995,1.4455171409565475,0.6349009321225525,2.249911618430124
11B_3y-DB2 | 23-01-2019,0.7227817968039312,1.4192170962549095,0.6964352994509784,2.2993224783421913
11B_4x-DB2 | 18-Feb-19 ,0.6657300747252326,1.346437495799636,0.6807074210744033,2.626755993951047
11B_4y-DB2 | 18-Feb-19 ,0.6370752830194593,1.3603444621717404,0.7232691791522812,2.6556780518751797
1A_1x-DB2 | 09-10-2017,1.0936646601998734,1.5974556505310367,0.5037909903311633,1.9816140491673848
1A_1y-DB2 | 09-10-2017,1.1509467209754396,1.6080904696912204,0.4571437487157808,2.002911341179386
1A_2x-DB2 | 03-11-2017,1.5147773116551817,1.9411746315499916,0.4263973198948099,1.95637581431783
1A_2y-DB2 | 03-11-2017,1.5423162464912137,1.6873440678161744,0.14502782132496073,2.201814884233415
1A_3x-DB2 | 14-11-2017,0.8636933671185338,1.4638376781313318,0.600144311012798,2.246080413611706
1A_3y-DB2 | 14-11-2017,0.8530609657372907,1.4401237396137372,0.5870627738764465,2.277248780127235
1A_4x-DB2 | 07-12-2017,0.6583045451716818,1.3259070316497952,0.6676024864781134,2.3192789376209157
1A_4y-DB2 | 07-12-2017,0.6203498684740056,1.2692548530618,0.6489049845877943,2.3768829909849387
2B_1x-DB2 | 17-01-2018,0.7475827302200364,1.2771459469125785,0.5295632166925421,2.0699724200465246
2B_1y-DB2 | 17-01-2018,0.7436148053026623,1.283865868366008,0.5402510630633457,2.096607877455483
2B_3x-DB2 | 20-Feb-18 ,0.9683583144981922,1.3978466182177631,0.4294883037195709,1.6447612536010312
2B_3y-DB2 | 20-Feb-18 ,1.0600480348783243,1.4509984059304593,0.3909503710521349,1.5582039833686676
2B_4x-DB2 | 15-03-2018,1.243550625181502,1.4661429398191475,0.2225923146376454,1.7438310023438346
2B_4y-DB2 | 15-03-2018,1.1963483332313873,1.3843027572536877,0.18795442402230034,1.799223550973569
3B_1x-DB2 | 31-01-2018,0.3544541069134115,0.998164515332415,0.6437104084190035,2.400764991401184
3B_1y-DB2 | 31-01-2018,0.394547091641833,1.0599466738457974,0.6653995822039644,2.33267999077792
3B_2x-DB2 | 23-Feb-18 ,0.7440393162258521,1.423548576427487,0.6795092602016348,2.194862180382417
3B_2y-DB2 | 23-Feb-18 ,0.7159110307169922,1.4413204962256745,0.7254094655086822,2.199600277259241
3B_3x-DB2 | 07-03-2018,0.6523991936515627,1.3467901019019854,0.6943909082504227,2.339393707950796
3B_3y-DB2 | 07-03-2018,0.6681536228490241,1.3575041552725375,0.6893505324235134,2.3324421982919024
3B_4x-DB2 | 28-03-2018,0.5340604939642284,1.2522561177542082,0.7181956237899798,2.510627843235673
3B_4y-DB2 | 28-03-2018,0.4915564594938835,1.194717775714694,0.7031613162208106,2.549813951431922
4A_1x-DB2 | 09-01-2018,0.7483385001876304,1.4308707426090872,0.6825322424214568,1.6735613469096653
4A_1y-DB2 | 09-01-2018,0.7023993221511899,1.3072795716602137,0.6048802495090237,1.7624220144328846
