sample_id,Interval,mean,SD,SE,size,CV
10A_1x-DB2 | 16-Oct-18 ,Int1,3.3030598841182486,0.12252797604538081,0.010624522957456225,133,3.7095293559320264
10A_1x-DB2 | 16-Oct-18 ,Int2,4.082933383518339,0.09494551068995401,0.010179227213727554,87,2.325423948213863
10A_1x-DB2 | 16-Oct-18 ,Int5,2.6405730677612667,0.11641730935891825,0.02125479547331227,30,4.408789545733695
10A_1y-DB2 | 16-Oct-18 ,Int1,3.2550509950586024,0.15538612964192264,0.013898157945597362,125,4.773692635777742
10A_1y-DB2 | 16-Oct-18 ,Int2,4.037438293224812,0.13312282219910204,0.014439197382881385,85,3.297210075569309
10A_1y-DB2 | 16-Oct-18 ,Int5,2.69539665921808,0.1537431017168316,0.02806952162370663,30,5.703913789127855
10A_2x-DB2 | 08-Nov-18 ,Int1,3.40749338110294,0.14627094467278054,0.012683299437747897,133,4.2926259368238435
10A_2x-DB2 | 08-Nov-18 ,Int2,4.104411709788625,0.11103486062537057,0.012261749106367561,82,2.7052564039948326
10A_2x-DB2 | 08-Nov-18 ,Int5,2.8351419660490853,0.12475718141804167,0.022777440824475255,30,4.400385691863507
10A_2y-DB2 | 08-Nov-18 ,Int1,3.388841425957732,0.14628841413861488,0.01303240774669509,126,4.316767760747962
10A_2y-DB2 | 08-Nov-18 ,Int2,4.069034842191549,0.17916620341365064,0.019666045732861695,83,4.40316218371709
10A_2y-DB2 | 08-Nov-18 ,Int5,2.8784549467689944,0.12861837955186506,0.02430658902331072,28,4.468313103049833
10A_3x-DB2 | 20-Nov-18 ,Int1,3.353626262637844,0.14869964242030784,0.01294264259698882,132,4.433995644563743
10A_3x-DB2 | 20-Nov-18 ,Int2,4.030269526714149,0.1111776507956468,0.012058909343151172,85,2.758566146971544
10A_3x-DB2 | 20-Nov-18 ,Int5,2.7809841476013446,0.12502809328910233,0.02282690233876721,30,4.495821862089419
10A_3y-DB2 | 20-Nov-18 ,Int1,3.410456662793397,0.1835092918591647,0.015912273647139312,133,5.380783572510142
10A_3y-DB2 | 20-Nov-18 ,Int2,4.0342275527952,0.11101892287537961,0.012335435875042178,81,2.751925155993191
10A_3y-DB2 | 20-Nov-18 ,Int5,2.87922872557274,0.12848734047769417,0.023458471577826566,30,4.462561078822777
10A_4x-DB2 | 14-Dec-18 ,Int1,4.18239258236163,0.0670170417032109,0.005811114498886789,133,1.6023613370452434
10A_4x-DB2 | 14-Dec-18 ,Int2,4.764855296085637,0.10274798174230264,0.011015739915520753,87,2.1563715025451216
10A_4x-DB2 | 14-Dec-18 ,Int5,3.0133764812114023,0.1064483952652949,0.01943472909900938,30,3.5325289066602714
10A_4y-DB2 | 14-Dec-18 ,Int1,4.184821390736203,0.062423202323172555,0.005872280909673987,113,1.4916575044602067
10A_4y-DB2 | 14-Dec-18 ,Int2,4.731537628547614,0.15864980754806787,0.017009044732188734,87,3.3530285501875374
10A_4y-DB2 | 14-Dec-18 ,Int5,2.9794014557945054,0.19347905044609873,0.03532428011133608,30,6.493889907646045
11B_1x-DB2 | 20-Dec-18 ,Int1,3.423458249140512,0.12076993237647325,0.010979084761497568,121,3.5277174011628025
11B_1x-DB2 | 20-Dec-18 ,Int2,4.0058758560630725,0.10996911349463807,0.012144057024310883,82,2.745195244335765
11B_1x-DB2 | 20-Dec-18 ,Int5,2.8567772083604215,0.11493675969927512,0.021721005904562354,28,4.0233014798252436
11B_1y-DB2 | 20-Dec-18 ,Int1,3.3975264433067496,0.12570920788639028,0.011381176920408399,122,3.7000214710334918
11B_1y-DB2 | 20-Dec-18 ,Int2,4.0068673919873,0.08811262932095415,0.009446665437251115,87,2.1990403150639986
11B_1y-DB2 | 20-Dec-18 ,Int5,2.954006922076805,0.10875786889546461,0.020195829243958772,29,3.6817066365911817
11B_3x-DB2 | 23-01-2019,Int1,3.060527827264119,0.10090098195688262,0.011281072732603464,80,3.296849029047401
11B_3x-DB2 | 23-01-2019,Int2,3.6954287593866715,0.07423796344453788,0.01094579055121841,46,2.0089133975582074
11B_3x-DB2 | 23-01-2019,Int5,2.249911618430124,0.10592770217234103,0.024967398840523777,18,4.708082811104024
11B_3y-DB2 | 23-01-2019,Int1,3.0221042751461225,0.08529770671264622,0.008246040551103033,107,2.822460740820135
11B_3y-DB2 | 23-01-2019,Int2,3.718539574597101,0.08312139400177622,0.010154894519318522,67,2.235323635375921
11B_3y-DB2 | 23-01-2019,Int5,2.2993224783421913,0.1023936005084831,0.020081037194606903,26,4.453207476243557
11B_4x-DB2 | 18-Feb-19 ,Int1,3.2924860686762796,0.09766314220647256,0.009028960690983797,117,2.9662431417891257
11B_4x-DB2 | 18-Feb-19 ,Int2,3.973193489750683,0.11302418683544058,0.013808102104509003,67,2.844668580249104
11B_4x-DB2 | 18-Feb-19 ,Int5,2.626755993951047,0.12257098635208342,0.022760860761344943,29,4.666249420743406
11B_4y-DB2 | 18-Feb-19 ,Int1,3.292753334894639,0.08380974065189406,0.007748213264198532,117,2.545278438069695
11B_4y-DB2 | 18-Feb-19 ,Int2,4.01602251404692,0.11436191131627126,0.013205376056697863,75,2.847641190164283
