sample_id,Interval,mean,SD,SE,size,CV
10A_1x-DB2 | 16-Oct-18 ,Int1,3.8453012518213603,0.0882998872299855,0.007627948456037922,134,2.2963061005470373
10A_1x-DB2 | 16-Oct-18 ,Int2,2.7187033953002118,0.09874092361430746,0.012540109839133156,62,3.6319123220649834
10A_1x-DB2 | 16-Oct-18 ,Int3,4.7516204080170485,0.08125872328302723,0.01172868644036527,48,1.7101265737878715
10A_1x-DB2 | 16-Oct-18 ,Int4,2.4769970594485127,0.21489900001037648,0.026254091423993323,67,8.675787449591175
10A_1y-DB2 | 16-Oct-18 ,Int1,3.8327639191082903,0.07406428293271057,0.00647102644520001,131,1.9323987726836553
10A_1y-DB2 | 16-Oct-18 ,Int2,2.709011534118919,0.20992793869960438,0.022769881925515986,85,7.749244920357325
10A_1y-DB2 | 16-Oct-18 ,Int3,4.693126008854517,0.06411603159241351,0.009254352024812623,48,1.3661689771688605
10A_1y-DB2 | 16-Oct-18 ,Int4,2.5705379867417735,0.1585331676694706,0.01894833775269576,70,6.167314721165264
10A_2x-DB2 | 08-Nov-18 ,Int1,3.922309484385766,0.08546692883152718,0.007467280243046551,131,2.178995032690831
10A_2x-DB2 | 08-Nov-18 ,Int2,2.762248857896375,0.11362241934145392,0.013778742246559927,68,4.113402708689487
10A_2x-DB2 | 08-Nov-18 ,Int3,4.843614122369727,0.04610732388410111,0.00665501896402476,48,0.9519198416562384
10A_2x-DB2 | 08-Nov-18 ,Int4,2.6094611817848072,0.14677023528397332,0.017178156711882237,73,5.624541813784948
10A_2y-DB2 | 08-Nov-18 ,Int1,3.9256862782157382,0.06567609910522443,0.005946034629653877,122,1.6729838925150902
10A_2y-DB2 | 08-Nov-18 ,Int2,2.8459099737678653,0.10665535113757298,0.014126846363584944,57,3.747671293915379
10A_2y-DB2 | 08-Nov-18 ,Int3,4.826340539432581,0.0614662497846181,0.00887188896480651,48,1.2735580774382014
10A_2y-DB2 | 08-Nov-18 ,Int4,2.6391874629013565,0.15636039754060946,0.018961483374220607,68,5.924565789226532
10A_3x-DB2 | 20-Nov-18 ,Int1,3.908628330001755,0.08969647314196058,0.007748595103334624,134,2.294832497975583
10A_3x-DB2 | 20-Nov-18 ,Int2,2.704536017755642,0.19621514807708848,0.02153741052744913,83,7.255039193004261
10A_3x-DB2 | 20-Nov-18 ,Int3,4.845009527385825,0.07463192794978403,0.010772190922987143,48,1.5403876406833912
10A_3x-DB2 | 20-Nov-18 ,Int4,2.5489847942180432,0.23504081262809456,0.026961030259303756,76,9.220957816666713
10A_3y-DB2 | 20-Nov-18 ,Int1,3.887240832857694,0.05909916933440207,0.005372651757672916,121,1.5203372231237724
10A_3y-DB2 | 20-Nov-18 ,Int2,2.737727886781508,0.17422577738246015,0.020253335229017306,74,6.363882189448756
10A_3y-DB2 | 20-Nov-18 ,Int3,4.841200018586463,0.08679043973702052,0.0125271209363137,48,1.7927464141909524
10A_3y-DB2 | 20-Nov-18 ,Int4,2.6798598207099964,0.11639544355325268,0.016460801487144197,50,4.343340746920677
10A_4x-DB2 | 14-Dec-18 ,Int1,4.422452148922652,0.07370165603659268,0.006343228587058462,135,1.6665337137575824
10A_4x-DB2 | 14-Dec-18 ,Int2,3.260923378739903,0.14092269723723033,0.016059631813401795,77,4.321558064074666
10A_4x-DB2 | 14-Dec-18 ,Int3,5.132364744066043,0.054407195887871365,0.009196494618496467,35,1.0600804619503337
10A_4x-DB2 | 14-Dec-18 ,Int4,3.065468350743225,0.12241814136492347,0.014845380215863941,68,3.9934563778889807
10A_4y-DB2 | 14-Dec-18 ,Int1,4.390559858553631,0.06851168633666815,0.006032117632901633,129,1.5604316657520243
10A_4y-DB2 | 14-Dec-18 ,Int2,3.2653409875076918,0.14154824021513848,0.016236696703521278,76,4.334868571357895
10A_4y-DB2 | 14-Dec-18 ,Int3,5.119357192882083,0.06858101278678816,0.010223453770469374,45,1.3396410956075249
10A_4y-DB2 | 14-Dec-18 ,Int4,3.0033636620491677,0.12746988796868733,0.014163320885409704,81,4.244237538710706
11B_1x-DB2 | 20-Dec-18 ,Int1,3.8890521537611873,0.08551597126009247,0.007558615397220661,128,2.19888980345476
11B_1x-DB2 | 20-Dec-18 ,Int2,2.684202529044403,0.16619440280507172,0.018817810549955887,78,6.191574629960513
