Sample,variable,value
10A_1x-DB2 | 16-Oct-18 ,log.Basal.Resp,1.3683041923728476
10A_1y-DB2 | 16-Oct-18 ,log.Basal.Resp,1.2622259323665168
10A_2x-DB2 | 08-Nov-18 ,log.Basal.Resp,1.3128483026009587
10A_2y-DB2 | 08-Nov-18 ,log.Basal.Resp,1.2864988153143817
10A_3x-DB2 | 20-Nov-18 ,log.Basal.Resp,1.3596435357837118
10A_3y-DB2 | 20-Nov-18 ,log.Basal.Resp,1.2073810121476978
10A_4x-DB2 | 14-Dec-18 ,log.Basal.Resp,1.3569837981794266
10A_4y-DB2 | 14-Dec-18 ,log.Basal.Resp,1.3871961965044637
11B_1x-DB2 | 20-Dec-18 ,log.Basal.Resp,1.4001618225484767
11B_1y-DB2 | 20-Dec-18 ,log.Basal.Resp,1.2408433499086167
11B_3x-DB2 | 23-01-2019,log.Basal.Resp,1.1432039171148016
11B_3y-DB2 | 23-01-2019,log.Basal.Resp,1.1626045906646074
11B_4x-DB2 | 18-Feb-19 ,log.Basal.Resp,1.336934949101006
11B_4y-DB2 | 18-Feb-19 ,log.Basal.Resp,1.2247930415560466
1A_1x-DB2 | 09-10-2017,log.Basal.Resp,1.1012432617867796
1A_1y-DB2 | 09-10-2017,log.Basal.Resp,1.0437332314224643
1A_2x-DB2 | 03-11-2017,log.Basal.Resp,1.407272846458563
1A_2y-DB2 | 03-11-2017,log.Basal.Resp,0.8520448229118753
1A_3x-DB2 | 14-11-2017,log.Basal.Resp,1.1906664358989452
1A_3y-DB2 | 14-11-2017,log.Basal.Resp,1.0793216858367494
1A_4x-DB2 | 07-12-2017,log.Basal.Resp,1.3977563812016802
1A_4y-DB2 | 07-12-2017,log.Basal.Resp,1.3754737469657896
2B_1x-DB2 | 17-01-2018,log.Basal.Resp,1.0812953999453168
2B_1y-DB2 | 17-01-2018,log.Basal.Resp,1.0445713676994028
2B_3x-DB2 | 20-Feb-18 ,log.Basal.Resp,1.2153672688999744
2B_3y-DB2 | 20-Feb-18 ,log.Basal.Resp,1.1079081030621674
2B_4x-DB2 | 15-03-2018,log.Basal.Resp,1.248116273908848
2B_4y-DB2 | 15-03-2018,log.Basal.Resp,1.1428678965764778
3B_1x-DB2 | 31-01-2018,log.Basal.Resp,0.7799138236522318
3B_1y-DB2 | 31-01-2018,log.Basal.Resp,-0.09652374177660406
3B_2x-DB2 | 23-Feb-18 ,log.Basal.Resp,0.9949588553314985
3B_2y-DB2 | 23-Feb-18 ,log.Basal.Resp,1.1020384138461417
3B_3x-DB2 | 07-03-2018,log.Basal.Resp,1.2067724399275153
3B_3y-DB2 | 07-03-2018,log.Basal.Resp,1.1168845746134264
3B_4x-DB2 | 28-03-2018,log.Basal.Resp,1.3599366667110453
