Sample,variable,value
10A_1x-DB2 | 16-Oct-18 ,Basal.Resp,34.86731349370255
10A_1y-DB2 | 16-Oct-18 ,Basal.Resp,33.117158984599456
10A_2x-DB2 | 08-Nov-18 ,Basal.Resp,36.92525292349133
10A_2y-DB2 | 08-Nov-18 ,Basal.Resp,36.68598007009643
10A_3x-DB2 | 20-Nov-18 ,Basal.Resp,37.03608501778116
10A_3y-DB2 | 20-Nov-18 ,Basal.Resp,34.19306655069828
10A_4x-DB2 | 14-Dec-18 ,Basal.Resp,61.85579544032208
10A_4y-DB2 | 14-Dec-18 ,Basal.Resp,60.53236721410527
11B_1x-DB2 | 20-Dec-18 ,Basal.Resp,36.816648992037855
11B_1y-DB2 | 20-Dec-18 ,Basal.Resp,34.776334685589106
11B_3x-DB2 | 23-01-2019,Basal.Resp,29.4655369591667
11B_3y-DB2 | 23-01-2019,Basal.Resp,28.851898637018863
11B_4x-DB2 | 18-Feb-19 ,Basal.Resp,31.31904823590029
11B_4y-DB2 | 18-Feb-19 ,Basal.Resp,30.492456982103455
1A_1x-DB2 | 09-10-2017,Basal.Resp,26.337533969103262
1A_1y-DB2 | 09-10-2017,Basal.Resp,25.18421963536128
1A_2x-DB2 | 03-11-2017,Basal.Resp,27.233528438537483
1A_2y-DB2 | 03-11-2017,Basal.Resp,11.538277565252578
1A_3x-DB2 | 14-11-2017,Basal.Resp,32.539686109495534
1A_3y-DB2 | 14-11-2017,Basal.Resp,29.087631015048864
1A_4x-DB2 | 07-12-2017,Basal.Resp,30.206210362746468
1A_4y-DB2 | 07-12-2017,Basal.Resp,29.578845912012948
2B_1x-DB2 | 17-01-2018,Basal.Resp,26.51007271819975
2B_1y-DB2 | 17-01-2018,Basal.Resp,25.66387280357391
2B_3x-DB2 | 20-Feb-18 ,Basal.Resp,24.292077524347754
2B_3y-DB2 | 20-Feb-18 ,Basal.Resp,23.1740534943201
2B_4x-DB2 | 15-03-2018,Basal.Resp,16.279131721741177
2B_4y-DB2 | 15-03-2018,Basal.Resp,15.664364480932177
3B_1x-DB2 | 31-01-2018,Basal.Resp,18.727407427649155
3B_1y-DB2 | 31-01-2018,Basal.Resp,-10.08014602801427
3B_2x-DB2 | 23-Feb-18 ,Basal.Resp,27.078777224779444
3B_2y-DB2 | 23-Feb-18 ,Basal.Resp,27.98435440978365
3B_3x-DB2 | 07-03-2018,Basal.Resp,31.205891448054373
3B_3y-DB2 | 07-03-2018,Basal.Resp,28.78179158855683
3B_4x-DB2 | 28-03-2018,Basal.Resp,35.148669999836066
3B_4y-DB2 | 28-03-2018,Basal.Resp,32.964084582808766
4A_1x-DB2 | 09-01-2018,Basal.Resp,15.118479095244755
4A_1y-DB2 | 09-01-2018,Basal.Resp,14.970084917961136
4A_3x-DB2 | 13-02-2018,Basal.Resp,26.41137014017606
4A_3y-DB2 | 13-02-2018,Basal.Resp,25.222419962693603
4A_4x-DB2 | 09-03-2018,Basal.Resp,31.478441639600625
4A_4y-DB2 | 09-03-2018,Basal.Resp,29.737319902527872
5A_1-DB2 | 27-03-2018,Basal.Resp,30.30783668663903
5A_2x-DB2 | 23-04-2018,Basal.Resp,38.41743678621117
5A_2y-DB2 | 23-04-2018,Basal.Resp,37.07201612438928
5A_3-DB2 | 02-05-2018,Basal.Resp,32.36329440031781
5A_4x-DB2 | 25-05-2018,Basal.Resp,39.249744992969
5A_4y-DB2 | 25-05-2018,Basal.Resp,37.996608358921435
6G_1-DB2 | 27-03-2018,Basal.Resp,34.84173311566053
6G_2x-DB2 | 19-04-2018,Basal.Resp,44.084388321643104
6G_2y-DB2 | 19-04-2018,Basal.Resp,42.56611403689601
6G_3-DB2 | 02-05-2018,Basal.Resp,30.56134297548692
6G_4x-DB2 | 24-05-2018,Basal.Resp,37.14465939195815
6G_4y-DB2 | 24-05-2018,Basal.Resp,36.75757291285183
7A_2x-DB2 | 17-08-2018,Basal.Resp,21.828865070478443
7A_2y-DB2 | 17-08-2018,Basal.Resp,22.51132662961885
7A_3x-DB2 | 29-08-2018,Basal.Resp,32.904488361628616
7A_3y-DB2 | 29-08-2018,Basal.Resp,32.19853148421563
7A_4x-DB2 | 21-09-2018,Basal.Resp,31.426899939749248
7A_4y-DB2 | 21-09-2018,Basal.Resp,33.11278562745372
9A_1x-DB2 | 02-07-2018,Basal.Resp,15.888678473427063
9A_1y-DB2 | 02-07-2018,Basal.Resp,16.46789567567663
9A_3x-DB2 | 23-Aug-18 ,Basal.Resp,35.38479435421084
9A_3y-DB2 | 23-Aug-18 ,Basal.Resp,33.98771426799876
9A_4x-DB2 | 17-Sep-18 ,Basal.Resp,19.903180046454153
10A_1x-DB2 | 16-Oct-18 ,ATP.linked.Resp,31.61211964466412
10A_1y-DB2 | 16-Oct-18 ,ATP.linked.Resp,31.175600538939364
10A_2x-DB2 | 08-Nov-18 ,ATP.linked.Resp,34.68156349726284
10A_2y-DB2 | 08-Nov-18 ,ATP.linked.Resp,33.470654215529166
10A_3x-DB2 | 20-Nov-18 ,ATP.linked.Resp,34.88317480154615
10A_3y-DB2 | 20-Nov-18 ,ATP.linked.Resp,33.32426059224779
10A_4x-DB2 | 14-Dec-18 ,ATP.linked.Resp,57.22669801969738
10A_4y-DB2 | 14-Dec-18 ,ATP.linked.Resp,54.49648330885005
11B_1x-DB2 | 20-Dec-18 ,ATP.linked.Resp,34.21801314397576
11B_1y-DB2 | 20-Dec-18 ,ATP.linked.Resp,34.34148425424319
11B_3x-DB2 | 23-01-2019,ATP.linked.Resp,30.105440144513302
11B_3y-DB2 | 23-01-2019,ATP.linked.Resp,28.905305804039365
11B_4x-DB2 | 18-Feb-19 ,ATP.linked.Resp,27.16785936282743
11B_4y-DB2 | 18-Feb-19 ,ATP.linked.Resp,28.371086231784183
1A_1x-DB2 | 09-10-2017,ATP.linked.Resp,24.581092001279295
1A_1y-DB2 | 09-10-2017,ATP.linked.Resp,24.385599079733076
1A_2x-DB2 | 03-11-2017,ATP.linked.Resp,24.498180548042328
1A_2y-DB2 | 03-11-2017,ATP.linked.Resp,9.265399148649536
1A_3x-DB2 | 14-11-2017,ATP.linked.Resp,31.565407694130602
1A_3y-DB2 | 14-11-2017,ATP.linked.Resp,27.681218866001075
1A_4x-DB2 | 07-12-2017,ATP.linked.Resp,28.758930529923596
1A_4y-DB2 | 07-12-2017,ATP.linked.Resp,27.10129779485095
2B_1x-DB2 | 17-01-2018,ATP.linked.Resp,25.63177839485208
2B_1y-DB2 | 17-01-2018,ATP.linked.Resp,25.594300459611887
2B_3x-DB2 | 20-Feb-18 ,ATP.linked.Resp,22.538891233187087
2B_3y-DB2 | 20-Feb-18 ,ATP.linked.Resp,22.54083893638876
2B_4x-DB2 | 15-03-2018,ATP.linked.Resp,14.044947806335111
2B_4y-DB2 | 15-03-2018,ATP.linked.Resp,12.758094649779682
3B_1x-DB2 | 31-01-2018,ATP.linked.Resp,22.274830945436882
3B_1y-DB2 | 31-01-2018,ATP.linked.Resp,22.700566713653807
3B_2x-DB2 | 23-Feb-18 ,ATP.linked.Resp,26.105107039074305
3B_2y-DB2 | 23-Feb-18 ,ATP.linked.Resp,25.63443527023658
3B_3x-DB2 | 07-03-2018,ATP.linked.Resp,28.187635067466907
3B_3y-DB2 | 07-03-2018,ATP.linked.Resp,25.803259075130008
3B_4x-DB2 | 28-03-2018,ATP.linked.Resp,31.222562153194293
3B_4y-DB2 | 28-03-2018,ATP.linked.Resp,30.094038878111864
4A_1x-DB2 | 09-01-2018,ATP.linked.Resp,15.300137823654826
4A_1y-DB2 | 09-01-2018,ATP.linked.Resp,15.912733589601963
4A_3x-DB2 | 13-02-2018,ATP.linked.Resp,24.91512846490214
4A_3y-DB2 | 13-02-2018,ATP.linked.Resp,24.511774978025144
4A_4x-DB2 | 09-03-2018,ATP.linked.Resp,29.098986303015717
4A_4y-DB2 | 09-03-2018,ATP.linked.Resp,28.99987842375016
5A_1-DB2 | 27-03-2018,ATP.linked.Resp,29.3627933342988
5A_2x-DB2 | 23-04-2018,ATP.linked.Resp,36.294038666623265
5A_2y-DB2 | 23-04-2018,ATP.linked.Resp,34.35453557857781
5A_3-DB2 | 02-05-2018,ATP.linked.Resp,22.703759674391357
5A_4x-DB2 | 25-05-2018,ATP.linked.Resp,35.937550800575394
5A_4y-DB2 | 25-05-2018,ATP.linked.Resp,34.276879383211195
6G_1-DB2 | 27-03-2018,ATP.linked.Resp,31.186537105002834
6G_2x-DB2 | 19-04-2018,ATP.linked.Resp,39.30295405551991
6G_2y-DB2 | 19-04-2018,ATP.linked.Resp,39.149155322652106
6G_3-DB2 | 02-05-2018,ATP.linked.Resp,22.926453209298387
6G_4x-DB2 | 24-05-2018,ATP.linked.Resp,34.61888505762123
6G_4y-DB2 | 24-05-2018,ATP.linked.Resp,34.19265412350396
7A_2x-DB2 | 17-08-2018,ATP.linked.Resp,20.591403477292594
7A_2y-DB2 | 17-08-2018,ATP.linked.Resp,20.07033335753205
7A_3x-DB2 | 29-08-2018,ATP.linked.Resp,31.30804914396151
7A_3y-DB2 | 29-08-2018,ATP.linked.Resp,29.47388915180281
7A_4x-DB2 | 21-09-2018,ATP.linked.Resp,29.5621245621187
7A_4y-DB2 | 21-09-2018,ATP.linked.Resp,29.801229287405356
9A_1x-DB2 | 02-07-2018,ATP.linked.Resp,14.577186354293953
9A_1y-DB2 | 02-07-2018,ATP.linked.Resp,15.053644779904534
9A_3x-DB2 | 23-Aug-18 ,ATP.linked.Resp,30.799827476601486
9A_3y-DB2 | 23-Aug-18 ,ATP.linked.Resp,29.179702542701452
9A_4x-DB2 | 17-Sep-18 ,ATP.linked.Resp,19.07795694731322
10A_1x-DB2 | 16-Oct-18 ,Proton.Leak,3.2551938490384273
10A_1y-DB2 | 16-Oct-18 ,Proton.Leak,1.9415584456600907
10A_2x-DB2 | 08-Nov-18 ,Proton.Leak,2.243689426228485
10A_2y-DB2 | 08-Nov-18 ,Proton.Leak,3.215325854567258
10A_3x-DB2 | 20-Nov-18 ,Proton.Leak,2.1529102162350178
10A_3y-DB2 | 20-Nov-18 ,Proton.Leak,0.8688059584504941
10A_4x-DB2 | 14-Dec-18 ,Proton.Leak,4.629097420624699
10A_4y-DB2 | 14-Dec-18 ,Proton.Leak,6.0358839052552185
11B_1x-DB2 | 20-Dec-18 ,Proton.Leak,2.598635848062097
11B_1y-DB2 | 20-Dec-18 ,Proton.Leak,0.4348504313459163
11B_3x-DB2 | 23-01-2019,Proton.Leak,-0.6399031853466006
11B_3y-DB2 | 23-01-2019,Proton.Leak,-0.053407167020504076
11B_4x-DB2 | 18-Feb-19 ,Proton.Leak,4.151188873072865
11B_4y-DB2 | 18-Feb-19 ,Proton.Leak,2.1213707503192722
1A_1x-DB2 | 09-10-2017,Proton.Leak,1.756441967823969
1A_1y-DB2 | 09-10-2017,Proton.Leak,0.7986205556282062
1A_2x-DB2 | 03-11-2017,Proton.Leak,2.735347890495154
1A_2y-DB2 | 03-11-2017,Proton.Leak,2.2728784166030422
1A_3x-DB2 | 14-11-2017,Proton.Leak,0.9742784153649335
1A_3y-DB2 | 14-11-2017,Proton.Leak,1.4064121490477888
1A_4x-DB2 | 07-12-2017,Proton.Leak,1.447279832822872
1A_4y-DB2 | 07-12-2017,Proton.Leak,2.477548117161998
2B_1x-DB2 | 17-01-2018,Proton.Leak,0.878294323347669
2B_1y-DB2 | 17-01-2018,Proton.Leak,0.06957234396202416
2B_3x-DB2 | 20-Feb-18 ,Proton.Leak,1.7531862911606666
2B_3y-DB2 | 20-Feb-18 ,Proton.Leak,0.6332145579313373
2B_4x-DB2 | 15-03-2018,Proton.Leak,2.2341839154060645
2B_4y-DB2 | 15-03-2018,Proton.Leak,2.9062698311524944
3B_1x-DB2 | 31-01-2018,Proton.Leak,-3.5474235177877294
3B_1y-DB2 | 31-01-2018,Proton.Leak,-32.780712741668076
3B_2x-DB2 | 23-Feb-18 ,Proton.Leak,0.9736701857051369
3B_2y-DB2 | 23-Feb-18 ,Proton.Leak,2.349919139547069
3B_3x-DB2 | 07-03-2018,Proton.Leak,3.0182563805874647
3B_3y-DB2 | 07-03-2018,Proton.Leak,2.9785325134268206
3B_4x-DB2 | 28-03-2018,Proton.Leak,3.9261078466417736
3B_4y-DB2 | 28-03-2018,Proton.Leak,2.8700457046969063
4A_1x-DB2 | 09-01-2018,Proton.Leak,-0.18165872841007058
4A_1y-DB2 | 09-01-2018,Proton.Leak,-0.9426486716408267
4A_3x-DB2 | 13-02-2018,Proton.Leak,1.4962416752739252
4A_3y-DB2 | 13-02-2018,Proton.Leak,0.710644984668459
4A_4x-DB2 | 09-03-2018,Proton.Leak,2.3794553365849076
4A_4y-DB2 | 09-03-2018,Proton.Leak,0.7374414787777113
5A_1-DB2 | 27-03-2018,Proton.Leak,0.9450433523402282
5A_2x-DB2 | 23-04-2018,Proton.Leak,2.1233981195879004
5A_2y-DB2 | 23-04-2018,Proton.Leak,2.717480545811469
5A_3-DB2 | 02-05-2018,Proton.Leak,9.659534725926452
5A_4x-DB2 | 25-05-2018,Proton.Leak,3.312194192393605
5A_4y-DB2 | 25-05-2018,Proton.Leak,3.719728975710236
6G_1-DB2 | 27-03-2018,Proton.Leak,3.6551960106577006
6G_2x-DB2 | 19-04-2018,Proton.Leak,4.781434266123192
6G_2y-DB2 | 19-04-2018,Proton.Leak,3.416958714243904
6G_3-DB2 | 02-05-2018,Proton.Leak,7.634889766188532
6G_4x-DB2 | 24-05-2018,Proton.Leak,2.5257743343369228
6G_4y-DB2 | 24-05-2018,Proton.Leak,2.564918789347864
7A_2x-DB2 | 17-08-2018,Proton.Leak,1.2374615931858504
7A_2y-DB2 | 17-08-2018,Proton.Leak,2.4409932720868035
7A_3x-DB2 | 29-08-2018,Proton.Leak,1.596439217667104
7A_3y-DB2 | 29-08-2018,Proton.Leak,2.7246423324128184
7A_4x-DB2 | 21-09-2018,Proton.Leak,1.8647753776305471
7A_4y-DB2 | 21-09-2018,Proton.Leak,3.3115563400483623
9A_1x-DB2 | 02-07-2018,Proton.Leak,1.31149211913311
9A_1y-DB2 | 02-07-2018,Proton.Leak,1.4142508957720956
9A_3x-DB2 | 23-Aug-18 ,Proton.Leak,4.584966877609357
9A_3y-DB2 | 23-Aug-18 ,Proton.Leak,4.808011725297309
9A_4x-DB2 | 17-Sep-18 ,Proton.Leak,0.8252230991409331
10A_1x-DB2 | 16-Oct-18 ,Spare.Resp.Cpcty,68.99981676841512
10A_1y-DB2 | 16-Oct-18 ,Spare.Resp.Cpcty,63.004889405311815
10A_2x-DB2 | 08-Nov-18 ,Spare.Resp.Cpcty,76.41032449826622
10A_2y-DB2 | 08-Nov-18 ,Spare.Resp.Cpcty,74.06576156359259
10A_3x-DB2 | 20-Nov-18 ,Spare.Resp.Cpcty,77.27396030270066
10A_3y-DB2 | 20-Nov-18 ,Spare.Resp.Cpcty,77.8451283873065
10A_4x-DB2 | 14-Dec-18 ,Spare.Resp.Cpcty,86.11697335795337
10A_4y-DB2 | 14-Dec-18 ,Spare.Resp.Cpcty,86.54226096939468
11B_1x-DB2 | 20-Dec-18 ,Spare.Resp.Cpcty,87.39551378200227
11B_1y-DB2 | 20-Dec-18 ,Spare.Resp.Cpcty,85.61681424853853
11B_3x-DB2 | 23-01-2019,Spare.Resp.Cpcty,66.43654270457722
11B_3y-DB2 | 23-01-2019,Spare.Resp.Cpcty,50.44986092763705
11B_4x-DB2 | 18-Feb-19 ,Spare.Resp.Cpcty,75.77019565223961
11B_4y-DB2 | 18-Feb-19 ,Spare.Resp.Cpcty,72.63896770392672
1A_1x-DB2 | 09-10-2017,Spare.Resp.Cpcty,44.26496469538077
1A_1y-DB2 | 09-10-2017,Spare.Resp.Cpcty,50.35804249019195
1A_2x-DB2 | 03-11-2017,Spare.Resp.Cpcty,46.30887670853353
1A_2y-DB2 | 03-11-2017,Spare.Resp.Cpcty,42.39977554704123
1A_3x-DB2 | 14-11-2017,Spare.Resp.Cpcty,59.28907632179113
1A_3y-DB2 | 14-11-2017,Spare.Resp.Cpcty,54.17344226044568
1A_4x-DB2 | 07-12-2017,Spare.Resp.Cpcty,61.88764777294169
1A_4y-DB2 | 07-12-2017,Spare.Resp.Cpcty,65.10629699330038
2B_1x-DB2 | 17-01-2018,Spare.Resp.Cpcty,44.78682482635705
2B_1y-DB2 | 17-01-2018,Spare.Resp.Cpcty,39.5772003464506
2B_3x-DB2 | 20-Feb-18 ,Spare.Resp.Cpcty,32.95762556399314
2B_3y-DB2 | 20-Feb-18 ,Spare.Resp.Cpcty,35.107422582969946
2B_4x-DB2 | 15-03-2018,Spare.Resp.Cpcty,24.943825120477108
2B_4y-DB2 | 15-03-2018,Spare.Resp.Cpcty,20.11003417222452
3B_1x-DB2 | 31-01-2018,Spare.Resp.Cpcty,48.6907211868811
3B_1y-DB2 | 31-01-2018,Spare.Resp.Cpcty,45.60526208083189
3B_2x-DB2 | 23-Feb-18 ,Spare.Resp.Cpcty,59.74652104410678
3B_2y-DB2 | 23-Feb-18 ,Spare.Resp.Cpcty,44.17113474813122
3B_3x-DB2 | 07-03-2018,Spare.Resp.Cpcty,67.2763004210322
3B_3y-DB2 | 07-03-2018,Spare.Resp.Cpcty,62.47810790060544
3B_4x-DB2 | 28-03-2018,Spare.Resp.Cpcty,71.91885385074687
3B_4y-DB2 | 28-03-2018,Spare.Resp.Cpcty,67.27389644961289
4A_1x-DB2 | 09-01-2018,Spare.Resp.Cpcty,39.49227127010089
4A_1y-DB2 | 09-01-2018,Spare.Resp.Cpcty,37.081149145995326
4A_3x-DB2 | 13-02-2018,Spare.Resp.Cpcty,48.55456514290468
4A_3y-DB2 | 13-02-2018,Spare.Resp.Cpcty,43.4055442727597
4A_4x-DB2 | 09-03-2018,Spare.Resp.Cpcty,63.38280507483137
4A_4y-DB2 | 09-03-2018,Spare.Resp.Cpcty,71.5192412718203
5A_1-DB2 | 27-03-2018,Spare.Resp.Cpcty,77.02383171540492
5A_2x-DB2 | 23-04-2018,Spare.Resp.Cpcty,72.89916298768235
