Sample,variable,value
10A_1x-DB2 | 16-Oct-18 ,log.Basal.Glyco,0.6624868163569819
10A_1y-DB2 | 16-Oct-18 ,log.Basal.Glyco,0.5596543358405226
10A_2x-DB2 | 08-Nov-18 ,log.Basal.Glyco,0.5723514150538547
10A_2y-DB2 | 08-Nov-18 ,log.Basal.Glyco,0.5103864791887376
10A_3x-DB2 | 20-Nov-18 ,log.Basal.Glyco,0.5726421150364995
10A_3y-DB2 | 20-Nov-18 ,log.Basal.Glyco,0.531227937220657
10A_4x-DB2 | 14-Dec-18 ,log.Basal.Glyco,1.1690161011502278
10A_4y-DB2 | 14-Dec-18 ,log.Basal.Glyco,1.2054199349416974
11B_1x-DB2 | 20-Dec-18 ,log.Basal.Glyco,0.5666810407800904
11B_1y-DB2 | 20-Dec-18 ,log.Basal.Glyco,0.44351952122994476
11B_3x-DB2 | 23-01-2019,log.Basal.Glyco,0.810616208833995
11B_3y-DB2 | 23-01-2019,log.Basal.Glyco,0.7227817968039312
11B_4x-DB2 | 18-Feb-19 ,log.Basal.Glyco,0.6657300747252326
11B_4y-DB2 | 18-Feb-19 ,log.Basal.Glyco,0.6370752830194593
1A_1x-DB2 | 09-10-2017,log.Basal.Glyco,1.0936646601998734
1A_1y-DB2 | 09-10-2017,log.Basal.Glyco,1.1509467209754396
1A_2x-DB2 | 03-11-2017,log.Basal.Glyco,1.5147773116551817
1A_2y-DB2 | 03-11-2017,log.Basal.Glyco,1.5423162464912137
1A_3x-DB2 | 14-11-2017,log.Basal.Glyco,0.8636933671185338
1A_3y-DB2 | 14-11-2017,log.Basal.Glyco,0.8530609657372907
1A_4x-DB2 | 07-12-2017,log.Basal.Glyco,0.6583045451716818
1A_4y-DB2 | 07-12-2017,log.Basal.Glyco,0.6203498684740056
2B_1x-DB2 | 17-01-2018,log.Basal.Glyco,0.7475827302200364
2B_1y-DB2 | 17-01-2018,log.Basal.Glyco,0.7436148053026623
2B_3x-DB2 | 20-Feb-18 ,log.Basal.Glyco,0.9683583144981922
2B_3y-DB2 | 20-Feb-18 ,log.Basal.Glyco,1.0600480348783243
2B_4x-DB2 | 15-03-2018,log.Basal.Glyco,1.243550625181502
2B_4y-DB2 | 15-03-2018,log.Basal.Glyco,1.1963483332313873
3B_1x-DB2 | 31-01-2018,log.Basal.Glyco,0.3544541069134115
3B_1y-DB2 | 31-01-2018,log.Basal.Glyco,0.394547091641833
3B_2x-DB2 | 23-Feb-18 ,log.Basal.Glyco,0.7440393162258521
3B_2y-DB2 | 23-Feb-18 ,log.Basal.Glyco,0.7159110307169922
3B_3x-DB2 | 07-03-2018,log.Basal.Glyco,0.6523991936515627
3B_3y-DB2 | 07-03-2018,log.Basal.Glyco,0.6681536228490241
3B_4x-DB2 | 28-03-2018,log.Basal.Glyco,0.5340604939642284
3B_4y-DB2 | 28-03-2018,log.Basal.Glyco,0.4915564594938835
4A_1x-DB2 | 09-01-2018,log.Basal.Glyco,0.7483385001876304
4A_1y-DB2 | 09-01-2018,log.Basal.Glyco,0.7023993221511899
4A_3x-DB2 | 13-02-2018,log.Basal.Glyco,0.6567306524120444
4A_3y-DB2 | 13-02-2018,log.Basal.Glyco,0.6191723270578211
4A_4x-DB2 | 09-03-2018,log.Basal.Glyco,0.6856197622778706
4A_4y-DB2 | 09-03-2018,log.Basal.Glyco,0.4847685771696244
5A_1-DB2 | 27-03-2018,log.Basal.Glyco,0.5185682699579819
5A_2x-DB2 | 23-04-2018,log.Basal.Glyco,0.39698170107109343
5A_2y-DB2 | 23-04-2018,log.Basal.Glyco,0.43827145343251805
5A_3-DB2 | 02-05-2018,log.Basal.Glyco,0.9305820344752616
5A_4x-DB2 | 25-05-2018,log.Basal.Glyco,0.7047793280573904
5A_4y-DB2 | 25-05-2018,log.Basal.Glyco,0.6929176261794683
6G_1-DB2 | 27-03-2018,log.Basal.Glyco,0.5775658279640425
6G_2x-DB2 | 19-04-2018,log.Basal.Glyco,0.632438388601694
6G_2y-DB2 | 19-04-2018,log.Basal.Glyco,0.519358373907254
6G_3-DB2 | 02-05-2018,log.Basal.Glyco,1.2157042047908788
6G_4x-DB2 | 24-05-2018,log.Basal.Glyco,0.5734475782113342
6G_4y-DB2 | 24-05-2018,log.Basal.Glyco,0.5858492643436075
7A_2x-DB2 | 17-08-2018,log.Basal.Glyco,0.9362451584252929
7A_2y-DB2 | 17-08-2018,log.Basal.Glyco,0.9497346144277645
7A_3x-DB2 | 29-08-2018,log.Basal.Glyco,0.5627361202584185
7A_3y-DB2 | 29-08-2018,log.Basal.Glyco,0.5432854641508529
7A_4x-DB2 | 21-09-2018,log.Basal.Glyco,0.599798495691068
7A_4y-DB2 | 21-09-2018,log.Basal.Glyco,0.5497526234560377
9A_1x-DB2 | 02-07-2018,log.Basal.Glyco,1.1899040764229631
9A_1y-DB2 | 02-07-2018,log.Basal.Glyco,1.0648551346366482
9A_3x-DB2 | 23-Aug-18 ,log.Basal.Glyco,0.930794242943358
9A_3y-DB2 | 23-Aug-18 ,log.Basal.Glyco,0.8115027597585116
9A_4x-DB2 | 17-Sep-18 ,log.Basal.Glyco,0.8918361449776424
10A_1x-DB2 | 16-Oct-18 ,log.Max.Glyco.Cpcty,1.442360315757072
10A_1y-DB2 | 16-Oct-18 ,log.Max.Glyco.Cpcty,1.3420416340067325
10A_2x-DB2 | 08-Nov-18 ,log.Max.Glyco.Cpcty,1.2692697437395397
10A_2y-DB2 | 08-Nov-18 ,log.Max.Glyco.Cpcty,1.1905798954225544
10A_3x-DB2 | 20-Nov-18 ,log.Max.Glyco.Cpcty,1.2492853791128047
10A_3y-DB2 | 20-Nov-18 ,log.Max.Glyco.Cpcty,1.1549988272224603
10A_4x-DB2 | 14-Dec-18 ,log.Max.Glyco.Cpcty,1.7514788148742344
10A_4y-DB2 | 14-Dec-18 ,log.Max.Glyco.Cpcty,1.7521361727531088
11B_1x-DB2 | 20-Dec-18 ,log.Max.Glyco.Cpcty,1.149098647702651
11B_1y-DB2 | 20-Dec-18 ,log.Max.Glyco.Cpcty,1.0528604699104953
11B_3x-DB2 | 23-01-2019,log.Max.Glyco.Cpcty,1.4455171409565475
11B_3y-DB2 | 23-01-2019,log.Max.Glyco.Cpcty,1.4192170962549095
11B_4x-DB2 | 18-Feb-19 ,log.Max.Glyco.Cpcty,1.346437495799636
11B_4y-DB2 | 18-Feb-19 ,log.Max.Glyco.Cpcty,1.3603444621717404
1A_1x-DB2 | 09-10-2017,log.Max.Glyco.Cpcty,1.5974556505310367
1A_1y-DB2 | 09-10-2017,log.Max.Glyco.Cpcty,1.6080904696912204
1A_2x-DB2 | 03-11-2017,log.Max.Glyco.Cpcty,1.9411746315499916
1A_2y-DB2 | 03-11-2017,log.Max.Glyco.Cpcty,1.6873440678161744
1A_3x-DB2 | 14-11-2017,log.Max.Glyco.Cpcty,1.4638376781313318
1A_3y-DB2 | 14-11-2017,log.Max.Glyco.Cpcty,1.4401237396137372
1A_4x-DB2 | 07-12-2017,log.Max.Glyco.Cpcty,1.3259070316497952
1A_4y-DB2 | 07-12-2017,log.Max.Glyco.Cpcty,1.2692548530618
2B_1x-DB2 | 17-01-2018,log.Max.Glyco.Cpcty,1.2771459469125785
2B_1y-DB2 | 17-01-2018,log.Max.Glyco.Cpcty,1.283865868366008
2B_3x-DB2 | 20-Feb-18 ,log.Max.Glyco.Cpcty,1.3978466182177631
2B_3y-DB2 | 20-Feb-18 ,log.Max.Glyco.Cpcty,1.4509984059304593
2B_4x-DB2 | 15-03-2018,log.Max.Glyco.Cpcty,1.4661429398191475
2B_4y-DB2 | 15-03-2018,log.Max.Glyco.Cpcty,1.3843027572536877
3B_1x-DB2 | 31-01-2018,log.Max.Glyco.Cpcty,0.998164515332415
3B_1y-DB2 | 31-01-2018,log.Max.Glyco.Cpcty,1.0599466738457974
3B_2x-DB2 | 23-Feb-18 ,log.Max.Glyco.Cpcty,1.423548576427487
3B_2y-DB2 | 23-Feb-18 ,log.Max.Glyco.Cpcty,1.4413204962256745
3B_3x-DB2 | 07-03-2018,log.Max.Glyco.Cpcty,1.3467901019019854
3B_3y-DB2 | 07-03-2018,log.Max.Glyco.Cpcty,1.3575041552725375
3B_4x-DB2 | 28-03-2018,log.Max.Glyco.Cpcty,1.2522561177542082
3B_4y-DB2 | 28-03-2018,log.Max.Glyco.Cpcty,1.194717775714694
4A_1x-DB2 | 09-01-2018,log.Max.Glyco.Cpcty,1.4308707426090872
4A_1y-DB2 | 09-01-2018,log.Max.Glyco.Cpcty,1.3072795716602137
4A_3x-DB2 | 13-02-2018,log.Max.Glyco.Cpcty,1.4048537236913883
4A_3y-DB2 | 13-02-2018,log.Max.Glyco.Cpcty,1.360111561182129
4A_4x-DB2 | 09-03-2018,log.Max.Glyco.Cpcty,1.3165764972748173
4A_4y-DB2 | 09-03-2018,log.Max.Glyco.Cpcty,1.2060806246757871
5A_1-DB2 | 27-03-2018,log.Max.Glyco.Cpcty,1.2113205929008939
5A_2x-DB2 | 23-04-2018,log.Max.Glyco.Cpcty,1.0288779442099996
5A_2y-DB2 | 23-04-2018,log.Max.Glyco.Cpcty,1.0544200040943417
5A_3-DB2 | 02-05-2018,log.Max.Glyco.Cpcty,1.0334325038653445
5A_4x-DB2 | 25-05-2018,log.Max.Glyco.Cpcty,1.243721909211168
5A_4y-DB2 | 25-05-2018,log.Max.Glyco.Cpcty,1.2464460469127183
6G_1-DB2 | 27-03-2018,log.Max.Glyco.Cpcty,1.3083936081175507
6G_2x-DB2 | 19-04-2018,log.Max.Glyco.Cpcty,1.3566839993615138
6G_2y-DB2 | 19-04-2018,log.Max.Glyco.Cpcty,1.288409744261482
6G_3-DB2 | 02-05-2018,log.Max.Glyco.Cpcty,1.5126566319109098
6G_4x-DB2 | 24-05-2018,log.Max.Glyco.Cpcty,1.2844484497351534
6G_4y-DB2 | 24-05-2018,log.Max.Glyco.Cpcty,1.3000571413819393
7A_2x-DB2 | 17-08-2018,log.Max.Glyco.Cpcty,1.4292357919799517
7A_2y-DB2 | 17-08-2018,log.Max.Glyco.Cpcty,1.4392948372364556
7A_3x-DB2 | 29-08-2018,log.Max.Glyco.Cpcty,1.2394244752190513
7A_3y-DB2 | 29-08-2018,log.Max.Glyco.Cpcty,1.2656554936054336
7A_4x-DB2 | 21-09-2018,log.Max.Glyco.Cpcty,1.1117871556956533
7A_4y-DB2 | 21-09-2018,log.Max.Glyco.Cpcty,1.0949486485269029
9A_1x-DB2 | 02-07-2018,log.Max.Glyco.Cpcty,1.4907467094785287
9A_1y-DB2 | 02-07-2018,log.Max.Glyco.Cpcty,1.3500382931259063
9A_3x-DB2 | 23-Aug-18 ,log.Max.Glyco.Cpcty,1.48279913364156
9A_3y-DB2 | 23-Aug-18 ,log.Max.Glyco.Cpcty,1.398430796422462
